	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
1038					A0A6P7XIK9	80.5	164	2.62e-83	TrEMBL	LOC115466135	A0A6P7XIK9_9AMPH	tr|A0A6P7XIK9|A0A6P7XIK9_9AMPH nuclear receptor subfamily 5 group A member 2-like isoform X2 OS=Microcaecilia unicolor OX=1415580 GN=LOC115466135 PE=3 SV=1	432	Microcaecilia unicolor	nuclear receptor subfamily 5 group A member 2-like isoform X2
1039					XP_030053051.1	80.5	164	6.74e-83	Nr			XP_030053051.1 nuclear receptor subfamily 5 group A member 2-like isoform X2 [Microcaecilia unicolor]	432	Microcaecilia unicolor	nuclear receptor subfamily 5 group A member 2-like isoform X2
1040					A0A6P7XQV1	80.5	164	1.15e-82	TrEMBL	LOC115466135	A0A6P7XQV1_9AMPH	tr|A0A6P7XQV1|A0A6P7XQV1_9AMPH nuclear receptor subfamily 5 group A member 2-like isoform X1 OS=Microcaecilia unicolor OX=1415580 GN=LOC115466135 PE=3 SV=1	486	Microcaecilia unicolor	nuclear receptor subfamily 5 group A member 2-like isoform X1
1041					XP_030053050.1	80.5	164	2.97e-82	Nr			XP_030053050.1 nuclear receptor subfamily 5 group A member 2-like isoform X1 [Microcaecilia unicolor]	486	Microcaecilia unicolor	nuclear receptor subfamily 5 group A member 2-like isoform X1
1042					XP_029440377.1	80.0	165	1.23e-80	Nr			XP_029440377.1 nuclear receptor subfamily 5 group A member 2-like [Rhinatrema bivittatum]	483	Rhinatrema bivittatum	nuclear receptor subfamily 5 group A member 2-like
1043					XP_043940379.1	76.2	164	6.610000000000001e-79	Nr			XP_043940379.1 nuclear receptor subfamily 5 group A member 2-like [Protopterus annectens]	490	Protopterus annectens	nuclear receptor subfamily 5 group A member 2-like
1044					XP_043550889.1	73.8	164	3.89e-77	Nr			XP_043550889.1 nuclear receptor subfamily 5 group A member 2-like isoform X4 [Chiloscyllium plagiosum]	448	Chiloscyllium plagiosum	nuclear receptor subfamily 5 group A member 2-like isoform X4
1045					A0A401SFT8	73.8	164	3.96e-77	TrEMBL	chiPu_0007707	A0A401SFT8_CHIPU	tr|A0A401SFT8|A0A401SFT8_CHIPU Nuclear receptor subfamily 5 group A member 2 OS=Chiloscyllium punctatum OX=137246 GN=chiPu_0007707 PE=3 SV=1	498	Chiloscyllium punctatum	Nuclear receptor subfamily 5 group A member 2
1046					A0A401PQF5	72.6	164	4.26e-77	TrEMBL	scyTo_0016411	A0A401PQF5_SCYTO	tr|A0A401PQF5|A0A401PQF5_SCYTO Nuclear receptor subfamily 5 group A member 2 (Fragment) OS=Scyliorhinus torazame OX=75743 GN=scyTo_0016411 PE=3 SV=1	435	Scyliorhinus torazame	Nuclear receptor subfamily 5 group A member 2 (Fragment)
1047					XP_043550888.1	73.8	164	6.6300000000000005e-77	Nr			XP_043550888.1 nuclear receptor subfamily 5 group A member 2-like isoform X3 [Chiloscyllium plagiosum]	468	Chiloscyllium plagiosum	nuclear receptor subfamily 5 group A member 2-like isoform X3
1048					GCC29269.1	73.8	164	1.02e-76	Nr			GCC29269.1 hypothetical protein [Chiloscyllium punctatum]	498	Chiloscyllium punctatum	hypothetical protein
1049					GCB75343.1	72.6	164	1.09e-76	Nr			GCB75343.1 hypothetical protein [Scyliorhinus torazame]	435	Scyliorhinus torazame	hypothetical protein
1050					XP_043550886.1	73.8	164	1.3e-76	Nr			XP_043550886.1 nuclear receptor subfamily 5 group A member 2-like isoform X2 [Chiloscyllium plagiosum]	494	Chiloscyllium plagiosum	nuclear receptor subfamily 5 group A member 2-like isoform X2
1051					XP_043550885.1	73.8	164	1.44e-76	Nr			XP_043550885.1 nuclear receptor subfamily 5 group A member 2-like isoform X1 [Chiloscyllium plagiosum]	498	Chiloscyllium plagiosum	nuclear receptor subfamily 5 group A member 2-like isoform X1
1052					XP_048377864.1	73.8	164	1.88e-76	Nr			XP_048377864.1 nuclear receptor subfamily 5 group A member 2-like isoform X2 [Stegostoma fasciatum]	495	Stegostoma fasciatum	nuclear receptor subfamily 5 group A member 2-like isoform X2
1053					XP_048377863.1	73.8	164	2.08e-76	Nr			XP_048377863.1 nuclear receptor subfamily 5 group A member 2-like isoform X1 [Stegostoma fasciatum]	499	Stegostoma fasciatum	nuclear receptor subfamily 5 group A member 2-like isoform X1
1054					XP_048473919.1	73.2	164	8.47e-76	Nr			XP_048473919.1 nuclear receptor subfamily 5 group A member 2-like [Rhincodon typus]	500	Rhincodon typus	nuclear receptor subfamily 5 group A member 2-like
1055					XP_041033101.1	72.0	164	1.57e-75	Nr			XP_041033101.1 nuclear receptor subfamily 5 group A member 2-like [Carcharodon carcharias]	470	Carcharodon carcharias	nuclear receptor subfamily 5 group A member 2-like
1056					XP_038640915.1	72.0	164	3.21e-75	Nr			XP_038640915.1 nuclear receptor subfamily 5 group A member 2-like isoform X4 [Scyliorhinus canicula]	471	Scyliorhinus canicula	nuclear receptor subfamily 5 group A member 2-like isoform X4
1057					XP_038640913.1	72.0	164	6.22e-75	Nr			XP_038640913.1 nuclear receptor subfamily 5 group A member 2-like isoform X2 [Scyliorhinus canicula]	497	Scyliorhinus canicula	nuclear receptor subfamily 5 group A member 2-like isoform X2
1058					XP_038640912.1	72.0	164	6.87e-75	Nr			XP_038640912.1 nuclear receptor subfamily 5 group A member 2-like isoform X1 [Scyliorhinus canicula]	501	Scyliorhinus canicula	nuclear receptor subfamily 5 group A member 2-like isoform X1
1059					XP_032868098.1	71.3	164	9.6e-75	Nr			XP_032868098.1 nuclear receptor subfamily 5 group A member 2-like isoform X3 [Amblyraja radiata]	434	Amblyraja radiata	nuclear receptor subfamily 5 group A member 2-like isoform X3
1060					A0A6P8PWW4	75.0	164	3.28e-74	TrEMBL	LOC117349827	A0A6P8PWW4_GEOSA	tr|A0A6P8PWW4|A0A6P8PWW4_GEOSA nuclear receptor subfamily 5 group A member 2-like OS=Geotrypetes seraphini OX=260995 GN=LOC117349827 PE=3 SV=1	491	Geotrypetes seraphini	nuclear receptor subfamily 5 group A member 2-like
1061					XP_032868097.1	71.3	164	4.3399999999999996e-74	Nr			XP_032868097.1 nuclear receptor subfamily 5 group A member 2-like isoform X2 [Amblyraja radiata]	492	Amblyraja radiata	nuclear receptor subfamily 5 group A member 2-like isoform X2
1062					XP_032868096.1	71.3	164	4.7899999999999994e-74	Nr			XP_032868096.1 nuclear receptor subfamily 5 group A member 2-like isoform X1 [Amblyraja radiata]	496	Amblyraja radiata	nuclear receptor subfamily 5 group A member 2-like isoform X1
1063					XP_033779313.1	75.0	164	8.43e-74	Nr			XP_033779313.1 nuclear receptor subfamily 5 group A member 2-like [Geotrypetes seraphini]	491	Geotrypetes seraphini	nuclear receptor subfamily 5 group A member 2-like
1064					XP_009817092.1	69.7	165	1.5400000000000003e-73	Nr			XP_009817092.1 PREDICTED: nuclear receptor subfamily 5 group A member 2-like, partial [Gavia stellata]	171	Gavia stellata	PREDICTED: nuclear receptor subfamily 5 group A member 2-like, partial
1065					XP_010713963.1	69.7	165	1.82e-73	Nr			XP_010713963.1 nuclear receptor subfamily 5 group A member 2-like [Meleagris gallopavo]	176	Meleagris gallopavo	nuclear receptor subfamily 5 group A member 2-like
1066					KAF7243514.1	69.7	165	2.19e-73	Nr			KAF7243514.1 Nuclear receptor subfamily 5 group A member 2, partial [Varanus komodoensis]	171	Varanus komodoensis	Nuclear receptor subfamily 5 group A member 2, partial
1067					A0A401SNM5	68.5	165	1.02e-72	TrEMBL	chiPu_0010474	A0A401SNM5_CHIPU	tr|A0A401SNM5|A0A401SNM5_CHIPU NR LBD domain-containing protein (Fragment) OS=Chiloscyllium punctatum OX=137246 GN=chiPu_0010474 PE=3 SV=1	172	Chiloscyllium punctatum	NR LBD domain-containing protein (Fragment)
1068					A0A6J0T005	69.7	165	9.03e-72	TrEMBL	NR5A2	A0A6J0T005_9SAUR	tr|A0A6J0T005|A0A6J0T005_9SAUR nuclear receptor subfamily 5 group A member 2 isoform X4 OS=Pogona vitticeps OX=103695 GN=NR5A2 PE=3 SV=1	329	Pogona vitticeps	nuclear receptor subfamily 5 group A member 2 isoform X4
1069					A0A8J6H0W8	67.9	165	1.54e-71	TrEMBL	LTLLF_208325	A0A8J6H0W8_MICOH	tr|A0A8J6H0W8|A0A8J6H0W8_MICOH Nuclear receptor subfamily 5 group A member 2 OS=Microtus ochrogaster OX=79684 GN=LTLLF_208325 PE=3 SV=1	201	Microtus ochrogaster	Nuclear receptor subfamily 5 group A member 2
1070					A0A7J8BAN1	66.1	165	4.1e-71	TrEMBL	HJG63_014359	A0A7J8BAN1_ROUAE	tr|A0A7J8BAN1|A0A7J8BAN1_ROUAE Nuclear receptor subfamily 5 group A member 2 OS=Rousettus aegyptiacus OX=9407 GN=HJG63_014359 PE=3 SV=1	167	Rousettus aegyptiacus	Nuclear receptor subfamily 5 group A member 2
1071					A0A2D4GPY8	70.3	165	9.34e-71	TrEMBL		A0A2D4GPY8_MICCO	tr|A0A2D4GPY8|A0A2D4GPY8_MICCO Nuclear receptor subfamily 5 group A member 2 (Fragment) OS=Micrurus corallinus OX=54390 PE=3 SV=1	451	Micrurus corallinus	Nuclear receptor subfamily 5 group A member 2 (Fragment)
1072					O42101	69.1	165	1.0100000000000001e-70	Swiss-Prot	NR5A2	NR5A2_CHICK	sp|O42101|NR5A2_CHICK Nuclear receptor subfamily 5 group A member 2 OS=Gallus gallus OX=9031 GN=NR5A2 PE=2 SV=1	501	Gallus gallus	Nuclear receptor subfamily 5 group A member 2
1073					A0A8D2NSX0	69.7	165	1.15e-70	TrEMBL		A0A8D2NSX0_ZOSLA	tr|A0A8D2NSX0|A0A8D2NSX0_ZOSLA Nuclear receptor subfamily 5 group A member 2 OS=Zosterops lateralis melanops OX=1220523 PE=3 SV=1	473	Zosterops lateralis melanops	Nuclear receptor subfamily 5 group A member 2
1074					A0A7K9S7L4	69.7	165	1.18e-70	TrEMBL	Nr5a2	A0A7K9S7L4_9PASS	tr|A0A7K9S7L4|A0A7K9S7L4_9PASS NR5A2 protein (Fragment) OS=Sterrhoptilus dennistouni OX=2585820 GN=Nr5a2 PE=3 SV=1	474	Sterrhoptilus dennistouni	NR5A2 protein (Fragment)
1075					A0A6P9DQ63	70.3	165	1.5100000000000002e-70	TrEMBL	NR5A2	A0A6P9DQ63_PANGU	tr|A0A6P9DQ63|A0A6P9DQ63_PANGU nuclear receptor subfamily 5 group A member 2 isoform X2 OS=Pantherophis guttatus OX=94885 GN=NR5A2 PE=3 SV=1	470	Pantherophis guttatus	nuclear receptor subfamily 5 group A member 2 isoform X2
1076					A0A7K6K4U6	69.7	165	1.74e-70	TrEMBL	Nr5a2	A0A7K6K4U6_9PASE	tr|A0A7K6K4U6|A0A7K6K4U6_9PASE NR5A2 protein (Fragment) OS=Oreocharis arfaki OX=979223 GN=Nr5a2 PE=3 SV=1	435	Oreocharis arfaki	NR5A2 protein (Fragment)
1077					A0A8K1GHW2	69.7	165	2.2900000000000002e-70	TrEMBL	HGM15179_008872	A0A8K1GHW2_9PASS	tr|A0A8K1GHW2|A0A8K1GHW2_9PASS Nuclear receptor subfamily 5 group A member 2 OS=Zosterops borbonicus OX=364589 GN=HGM15179_008872 PE=3 SV=1	501	Zosterops borbonicus	Nuclear receptor subfamily 5 group A member 2
1078					A0A4Z2B6B2	66.1	165	2.7400000000000002e-70	TrEMBL	fugu_006142	A0A4Z2B6B2_9TELE	tr|A0A4Z2B6B2|A0A4Z2B6B2_9TELE NR LBD domain-containing protein (Fragment) OS=Takifugu bimaculatus OX=433685 GN=fugu_006142 PE=3 SV=1	247	Takifugu bimaculatus	NR LBD domain-containing protein (Fragment)
1079					A0A8C6X3F8	70.3	165	2.8600000000000002e-70	TrEMBL	NR5A2	A0A8C6X3F8_NAJNA	tr|A0A8C6X3F8|A0A8C6X3F8_NAJNA Nuclear receptor subfamily 5 group A member 2 OS=Naja naja OX=35670 GN=NR5A2 PE=3 SV=1	496	Naja naja	Nuclear receptor subfamily 5 group A member 2
1080					A0A670Y5A6	70.3	165	2.8600000000000002e-70	TrEMBL	NR5A2	A0A670Y5A6_PSETE	tr|A0A670Y5A6|A0A670Y5A6_PSETE Nuclear receptor subfamily 5 group A member 2 OS=Pseudonaja textilis OX=8673 GN=NR5A2 PE=3 SV=1	496	Pseudonaja textilis	Nuclear receptor subfamily 5 group A member 2
1081					A0A6J1U9D9	70.3	165	2.8600000000000002e-70	TrEMBL	NR5A2	A0A6J1U9D9_9SAUR	tr|A0A6J1U9D9|A0A6J1U9D9_9SAUR nuclear receptor subfamily 5 group A member 2 isoform X1 OS=Notechis scutatus OX=8663 GN=NR5A2 PE=3 SV=1	496	Notechis scutatus	nuclear receptor subfamily 5 group A member 2 isoform X1
1082					A0A6P9DDN3	70.3	165	2.8600000000000002e-70	TrEMBL	NR5A2	A0A6P9DDN3_PANGU	tr|A0A6P9DDN3|A0A6P9DDN3_PANGU nuclear receptor subfamily 5 group A member 2 isoform X1 OS=Pantherophis guttatus OX=94885 GN=NR5A2 PE=3 SV=1	496	Pantherophis guttatus	nuclear receptor subfamily 5 group A member 2 isoform X1
1083					A0A8C0TYB1	69.1	165	2.94e-70	TrEMBL	NR5A2	A0A8C0TYB1_CYACU	tr|A0A8C0TYB1|A0A8C0TYB1_CYACU Nuclear receptor subfamily 5 group A member 2 OS=Cyanistes caeruleus OX=156563 GN=NR5A2 PE=3 SV=1	469	Cyanistes caeruleus	Nuclear receptor subfamily 5 group A member 2
1084					A0A3Q0GRS7	69.7	165	2.94e-70	TrEMBL	NR5A2	A0A3Q0GRS7_ALLSI	tr|A0A3Q0GRS7|A0A3Q0GRS7_ALLSI nuclear receptor subfamily 5 group A member 2 isoform X1 OS=Alligator sinensis OX=38654 GN=NR5A2 PE=3 SV=1	469	Alligator sinensis	nuclear receptor subfamily 5 group A member 2 isoform X1
1085					H2ZSR0	68.5	165	3.28e-70	TrEMBL	NR5A2	H2ZSR0_LATCH	tr|H2ZSR0|H2ZSR0_LATCH Nuclear receptor subfamily 5 group A member 2 OS=Latimeria chalumnae OX=7897 GN=NR5A2 PE=3 SV=1	394	Latimeria chalumnae	Nuclear receptor subfamily 5 group A member 2
1086					A0A8C6VJI4	70.3	165	3.3e-70	TrEMBL	NR5A2	A0A8C6VJI4_NAJNA	tr|A0A8C6VJI4|A0A8C6VJI4_NAJNA Nuclear receptor subfamily 5 group A member 2 OS=Naja naja OX=35670 GN=NR5A2 PE=3 SV=1	502	Naja naja	Nuclear receptor subfamily 5 group A member 2
1087					A0A670YC24	70.3	165	3.3e-70	TrEMBL	NR5A2	A0A670YC24_PSETE	tr|A0A670YC24|A0A670YC24_PSETE Nuclear receptor subfamily 5 group A member 2 OS=Pseudonaja textilis OX=8673 GN=NR5A2 PE=3 SV=1	502	Pseudonaja textilis	Nuclear receptor subfamily 5 group A member 2
1088					O00482	67.9	165	1.9399999999999998e-69	Swiss-Prot	NR5A2	NR5A2_HUMAN	sp|O00482|NR5A2_HUMAN Nuclear receptor subfamily 5 group A member 2 OS=Homo sapiens OX=9606 GN=NR5A2 PE=1 SV=2	541	Homo sapiens	Nuclear receptor subfamily 5 group A member 2
1089					P45448	65.5	165	5.23e-66	Swiss-Prot	Nr5a2	NR5A2_MOUSE	sp|P45448|NR5A2_MOUSE Nuclear receptor subfamily 5 group A member 2 OS=Mus musculus OX=10090 GN=Nr5a2 PE=1 SV=3	560	Mus musculus	Nuclear receptor subfamily 5 group A member 2
1090					Q95L87	63.0	165	6.81e-66	Swiss-Prot	NR5A1	STF1_NOTEU	sp|Q95L87|STF1_NOTEU Steroidogenic factor 1 OS=Notamacropus eugenii OX=9315 GN=NR5A1 PE=2 SV=1	463	Notamacropus eugenii	Steroidogenic factor 1
1091					Q9QWM1	64.2	165	1.11e-64	Swiss-Prot	Nr5a2	NR5A2_RAT	sp|Q9QWM1|NR5A2_RAT Nuclear receptor subfamily 5 group A member 2 OS=Rattus norvegicus OX=10116 GN=Nr5a2 PE=2 SV=1	560	Rattus norvegicus	Nuclear receptor subfamily 5 group A member 2
1092					Q04752	59.4	165	8.289999999999999e-60	Swiss-Prot	NR5A1	STF1_BOVIN	sp|Q04752|STF1_BOVIN Steroidogenic factor 1 OS=Bos taurus OX=9913 GN=NR5A1 PE=1 SV=1	461	Bos taurus	Steroidogenic factor 1
1093					P79387	58.8	165	6.460000000000001e-59	Swiss-Prot	NR5A1	STF1_PIG	sp|P79387|STF1_PIG Steroidogenic factor 1 OS=Sus scrofa OX=9823 GN=NR5A1 PE=2 SV=3	461	Sus scrofa	Steroidogenic factor 1
1094					Q9GKL2	59.4	165	1.2800000000000001e-58	Swiss-Prot	NR5A1	STF1_HORSE	sp|Q9GKL2|STF1_HORSE Steroidogenic factor 1 OS=Equus caballus OX=9796 GN=NR5A1 PE=2 SV=1	461	Equus caballus	Steroidogenic factor 1
1095					Q13285	59.4	165	1.2800000000000001e-58	Swiss-Prot	NR5A1	STF1_HUMAN	sp|Q13285|STF1_HUMAN Steroidogenic factor 1 OS=Homo sapiens OX=9606 GN=NR5A1 PE=1 SV=2	461	Homo sapiens	Steroidogenic factor 1
1096					P33242	60.0	165	2.59e-58	Swiss-Prot	Nr5a1	STF1_MOUSE	sp|P33242|STF1_MOUSE Steroidogenic factor 1 OS=Mus musculus OX=10090 GN=Nr5a1 PE=1 SV=3	462	Mus musculus	Steroidogenic factor 1
1097					P50569	60.0	165	2.59e-58	Swiss-Prot	Nr5a1	STF1_RAT	sp|P50569|STF1_RAT Steroidogenic factor 1 OS=Rattus norvegicus OX=10116 GN=Nr5a1 PE=3 SV=1	462	Rattus norvegicus	Steroidogenic factor 1
1098					P49867	34.5	165	2.68e-27	Swiss-Prot	FTZ-F1	FTZF1_BOMMO	sp|P49867|FTZF1_BOMMO Nuclear hormone receptor FTZ-F1 OS=Bombyx mori OX=7091 GN=FTZ-F1 PE=1 SV=2	534	Bombyx mori	Nuclear hormone receptor FTZ-F1
1099					P33244	34.9	169	1.21e-25	Swiss-Prot	ftz-f1	FTZF1_DROME	sp|P33244|FTZF1_DROME Nuclear hormone receptor FTZ-F1 OS=Drosophila melanogaster OX=7227 GN=ftz-f1 PE=1 SV=2	1027	Drosophila melanogaster	Nuclear hormone receptor FTZ-F1
1100					Q5I7G2	39.8	161	1.05e-21	Swiss-Prot	RXR	RXR_LYMST	sp|Q5I7G2|RXR_LYMST Retinoic acid receptor RXR OS=Lymnaea stagnalis OX=6523 GN=RXR PE=1 SV=1	436	Lymnaea stagnalis	Retinoic acid receptor RXR
1101					Q8T5C6	39.1	161	3.75e-21	Swiss-Prot	RXR	RXR_BIOGL	sp|Q8T5C6|RXR_BIOGL Retinoic acid receptor RXR OS=Biomphalaria glabrata OX=6526 GN=RXR PE=1 SV=1	436	Biomphalaria glabrata	Retinoic acid receptor RXR
1102					Q90416	39.4	165	2.58e-20	Swiss-Prot	rxrga	RXRGA_DANRE	sp|Q90416|RXRGA_DANRE Retinoic acid receptor RXR-gamma-A OS=Danio rerio OX=7955 GN=rxrga PE=2 SV=2	441	Danio rerio	Retinoic acid receptor RXR-gamma-A
1103					P28705	36.6	164	3.85e-20	Swiss-Prot	Rxrg	RXRG_MOUSE	sp|P28705|RXRG_MOUSE Retinoic acid receptor RXR-gamma OS=Mus musculus OX=10090 GN=Rxrg PE=2 SV=2	463	Mus musculus	Retinoic acid receptor RXR-gamma
1104					P28701	36.6	164	3.9e-20	Swiss-Prot	RXRG	RXRG_CHICK	sp|P28701|RXRG_CHICK Retinoic acid receptor RXR-gamma OS=Gallus gallus OX=9031 GN=RXRG PE=2 SV=1	467	Gallus gallus	Retinoic acid receptor RXR-gamma
1105					Q0VC20	36.6	164	5.27e-20	Swiss-Prot	RXRG	RXRG_BOVIN	sp|Q0VC20|RXRG_BOVIN Retinoic acid receptor RXR-gamma OS=Bos taurus OX=9913 GN=RXRG PE=2 SV=1	463	Bos taurus	Retinoic acid receptor RXR-gamma
1106					P48443	36.6	164	5.27e-20	Swiss-Prot	RXRG	RXRG_HUMAN	sp|P48443|RXRG_HUMAN Retinoic acid receptor RXR-gamma OS=Homo sapiens OX=9606 GN=RXRG PE=1 SV=1	463	Homo sapiens	Retinoic acid receptor RXR-gamma
1107					Q0GFF6	36.6	164	5.27e-20	Swiss-Prot	RXRG	RXRG_PIG	sp|Q0GFF6|RXRG_PIG Retinoic acid receptor RXR-gamma OS=Sus scrofa OX=9823 GN=RXRG PE=2 SV=2	463	Sus scrofa	Retinoic acid receptor RXR-gamma
1108					Q5REL6	36.6	164	5.27e-20	Swiss-Prot	RXRG	RXRG_PONAB	sp|Q5REL6|RXRG_PONAB Retinoic acid receptor RXR-gamma OS=Pongo abelii OX=9601 GN=RXRG PE=2 SV=1	463	Pongo abelii	Retinoic acid receptor RXR-gamma
1109					Q6DHP9	38.3	162	1.31e-19	Swiss-Prot	rxrgb	RXRGB_DANRE	sp|Q6DHP9|RXRGB_DANRE Retinoic acid receptor RXR-gamma-B OS=Danio rerio OX=7955 GN=rxrgb PE=2 SV=1	452	Danio rerio	Retinoic acid receptor RXR-gamma-B
1110					Q5BJR8	36.0	164	1.85e-19	Swiss-Prot	Rxrg	RXRG_RAT	sp|Q5BJR8|RXRG_RAT Retinoic acid receptor RXR-gamma OS=Rattus norvegicus OX=10116 GN=Rxrg PE=1 SV=1	463	Rattus norvegicus	Retinoic acid receptor RXR-gamma
1111					P19793	36.4	165	3.46e-19	Swiss-Prot	RXRA	RXRA_HUMAN	sp|P19793|RXRA_HUMAN Retinoic acid receptor RXR-alpha OS=Homo sapiens OX=9606 GN=RXRA PE=1 SV=1	462	Homo sapiens	Retinoic acid receptor RXR-alpha
1112	Cluster-52127.0_A0.TRINITY_DN91878_c0_g1_i1	salamandra_salamandra_sud-nord_blastp	6.69103497801446	0.0121873817070002	KAJ1155992.1	87.0	774	0.0	Nr			KAJ1155992.1 hypothetical protein NDU88_008717 [Pleurodeles waltl]	965	Pleurodeles waltl	hypothetical protein NDU88_008717
1113					XP_048700196.1	77.2	773	0.0	Nr			XP_048700196.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2 [Caretta caretta]	964	Caretta caretta	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2
1114					XP_048700195.1	77.1	774	0.0	Nr			XP_048700195.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X1 [Caretta caretta]	965	Caretta caretta	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X1
1115					XP_037750914.1	77.1	773	0.0	Nr			XP_037750914.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2 [Chelonia mydas]	964	Chelonia mydas	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2
1116					XP_029452408.1	77.0	773	0.0	Nr			XP_029452408.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial [Rhinatrema bivittatum]	1024	Rhinatrema bivittatum	monofunctional C1-tetrahydrofolate synthase, mitochondrial
1117					XP_043399088.1	77.0	774	0.0	Nr			XP_043399088.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X3 [Chelonia mydas]	882	Chelonia mydas	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X3
1118					XP_037750913.1	77.0	774	0.0	Nr			XP_037750913.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X1 [Chelonia mydas]	965	Chelonia mydas	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X1
1119					XP_026505548.1	76.7	773	0.0	Nr			XP_026505548.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2 [Terrapene carolina triunguis]	951	Terrapene carolina triunguis	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2
1120					XP_026505547.1	76.6	774	0.0	Nr			XP_026505547.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X1 [Terrapene carolina triunguis]	952	Terrapene carolina triunguis	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X1
1121					XP_006115088.2	76.7	773	0.0	Nr			XP_006115088.2 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X1 [Pelodiscus sinensis]	826	Pelodiscus sinensis	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X1
1122					XP_039385842.1	76.6	773	0.0	Nr			XP_039385842.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2 [Mauremys reevesii]	945	Mauremys reevesii	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2
1123					XP_032507532.1	79.1	726	0.0	Nr			XP_032507532.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X3 [Phocoena sinus]	928	Phocoena sinus	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X3
1124					XP_044866190.1	76.5	773	0.0	Nr			XP_044866190.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X3 [Mauremys mutica]	946	Mauremys mutica	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X3
1125					NP_001120171.1	77.7	773	0.0	Nr			NP_001120171.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial [Xenopus tropicalis]	955	Xenopus tropicalis	monofunctional C1-tetrahydrofolate synthase, mitochondrial
1126					XP_018118472.1	77.9	773	0.0	Nr			XP_018118472.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial [Xenopus laevis]	960	Xenopus laevis	monofunctional C1-tetrahydrofolate synthase, mitochondrial
1127					TFK07954.1	76.4	774	0.0	Nr			TFK07954.1 sulfotransferase 6B1-like [Platysternon megacephalum]	952	Platysternon megacephalum	sulfotransferase 6B1-like
1128					XP_029079800.1	79.2	726	0.0	Nr			XP_029079800.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2 [Monodon monoceros]	928	Monodon monoceros	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2
1129					XP_008175618.1	76.2	773	0.0	Nr			XP_008175618.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2 [Chrysemys picta bellii]	951	Chrysemys picta bellii	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2
1130					XP_034621317.1	76.3	773	0.0	Nr			XP_034621317.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2 [Trachemys scripta elegans]	951	Trachemys scripta elegans	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2
1131					XP_032638340.1	75.9	773	0.0	Nr			XP_032638340.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X5 [Chelonoidis abingdonii]	951	Chelonoidis abingdonii	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X5
1132					XP_049551105.1	79.2	726	0.0	Nr			XP_049551105.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2 [Orcinus orca]	927	Orcinus orca	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X2
1133					NXA39209.1	76.5	773	0.0	Nr			NXA39209.1 C1TM protein [Eudromia elegans]	830	Eudromia elegans	C1TM protein
1134					XP_034621316.1	76.2	774	0.0	Nr			XP_034621316.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X1 [Trachemys scripta elegans]	952	Trachemys scripta elegans	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X1
1135					XP_008175613.1	76.1	774	0.0	Nr			XP_008175613.1 monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X1 [Chrysemys picta bellii]	952	Chrysemys picta bellii	monofunctional C1-tetrahydrofolate synthase, mitochondrial isoform X1
