query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene-ASIM_LOCUS10908	7209.EFO22577.1	1e-216	637.0	KOG4240@1|root,KOG4240@2759|Eukaryota,38GK7@33154|Opisthokonta,3BIGJ@33208|Metazoa,3CZXG@33213|Bilateria,40FN7@6231|Nematoda,1KXQB@119089|Chromadorea	33208|Metazoa	T	negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel	SESTD1	GO:0001568,GO:0001944,GO:0003674,GO:0005488,GO:0005543,GO:0005546,GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0007275,GO:0008150,GO:0008289,GO:0009653,GO:0010314,GO:0010959,GO:0032266,GO:0032501,GO:0032502,GO:0032879,GO:0034762,GO:0034763,GO:0034765,GO:0034766,GO:0035091,GO:0035239,GO:0035295,GO:0043167,GO:0043168,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043269,GO:0043271,GO:0043325,GO:0044424,GO:0044464,GO:0045111,GO:0048514,GO:0048519,GO:0048731,GO:0048856,GO:0050789,GO:0051049,GO:0051051,GO:0051924,GO:0051926,GO:0065007,GO:0070273,GO:0070300,GO:0072358,GO:0072359,GO:0080025,GO:1901981,GO:1902514,GO:1902936,GO:1903169,GO:1903170,GO:1904062,GO:1904063,GO:1904878	-	-	-	-	-	-	-	-	-	-	CRAL_TRIO_2
gene-ASIM_LOCUS10909	7209.EJD75437.1	2.25e-86	308.0	28N6J@1|root,2QURU@2759|Eukaryota,3ASJ3@33154|Opisthokonta,3C3X2@33208|Metazoa,3DJUW@33213|Bilateria	33208|Metazoa	-	-	sydn-1	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0016604,GO:0016607,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0070013	-	-	-	-	-	-	-	-	-	-	-
gene-ASIM_LOCUS10913	7209.EJD75393.1	0.0	948.0	COG0515@1|root,KOG0197@2759|Eukaryota,38E1B@33154|Opisthokonta,3BAZR@33208|Metazoa,3CTKV@33213|Bilateria,40BHK@6231|Nematoda,1KV82@119089|Chromadorea	33208|Metazoa	T	non-membrane spanning protein tyrosine kinase activity	-	GO:0000003,GO:0000132,GO:0000165,GO:0000226,GO:0000278,GO:0000578,GO:0000902,GO:0000904,GO:0001700,GO:0001704,GO:0001706,GO:0001708,GO:0001711,GO:0001714,GO:0001891,GO:0001932,GO:0001934,GO:0002009,GO:0002064,GO:0002065,GO:0002066,GO:0002376,GO:0003002,GO:0003006,GO:0003008,GO:0003674,GO:0003824,GO:0004672,GO:0004713,GO:0004715,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006928,GO:0006935,GO:0006950,GO:0006952,GO:0006955,GO:0006996,GO:0007010,GO:0007015,GO:0007017,GO:0007043,GO:0007049,GO:0007154,GO:0007155,GO:0007163,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007254,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007293,GO:0007300,GO:0007301,GO:0007349,GO:0007350,GO:0007351,GO:0007369,GO:0007389,GO:0007391,GO:0007399,GO:0007409,GO:0007411,GO:0007417,GO:0007420,GO:0007424,GO:0007431,GO:0007435,GO:0007492,GO:0007548,GO:0007610,GO:0007611,GO:0007613,GO:0007616,GO:0008064,GO:0008150,GO:0008152,GO:0008302,GO:0008335,GO:0008406,GO:0008582,GO:0008595,GO:0009605,GO:0009653,GO:0009790,GO:0009792,GO:0009798,GO:0009880,GO:0009887,GO:0009888,GO:0009893,GO:0009898,GO:0009948,GO:0009952,GO:0009987,GO:0010562,GO:0010604,GO:0010646,GO:0016020,GO:0016043,GO:0016301,GO:0016310,GO:0016319,GO:0016331,GO:0016333,GO:0016477,GO:0016740,GO:0016772,GO:0016773,GO:0018108,GO:0018193,GO:0018212,GO:0019220,GO:0019222,GO:0019538,GO:0019897,GO:0019898,GO:0019953,GO:0022008,GO:0022402,GO:0022412,GO:0022414,GO:0022607,GO:0022610,GO:0022612,GO:0023014,GO:0023051,GO:0023052,GO:0030010,GO:0030029,GO:0030030,GO:0030036,GO:0030046,GO:0030154,GO:0030182,GO:0030707,GO:0030708,GO:0030717,GO:0030723,GO:0030725,GO:0030832,GO:0030855,GO:0031032,GO:0031098,GO:0031175,GO:0031234,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032504,GO:0032535,GO:0032956,GO:0032970,GO:0032989,GO:0032990,GO:0033043,GO:0033554,GO:0033674,GO:0034329,GO:0034330,GO:0034332,GO:0035239,GO:0035262,GO:0035272,GO:0035282,GO:0035295,GO:0035556,GO:0035987,GO:0036058,GO:0036211,GO:0038007,GO:0038083,GO:0040001,GO:0040008,GO:0040011,GO:0040012,GO:0040017,GO:0040019,GO:0042127,GO:0042221,GO:0042325,GO:0042327,GO:0042330,GO:0043062,GO:0043063,GO:0043085,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0043412,GO:0043549,GO:0044085,GO:0044087,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044421,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044703,GO:0045087,GO:0045137,GO:0045165,GO:0045171,GO:0045172,GO:0045216,GO:0045478,GO:0045859,GO:0045860,GO:0045886,GO:0045926,GO:0045937,GO:0045995,GO:0046777,GO:0048138,GO:0048139,GO:0048167,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048546,GO:0048557,GO:0048562,GO:0048565,GO:0048566,GO:0048568,GO:0048598,GO:0048608,GO:0048609,GO:0048638,GO:0048640,GO:0048646,GO:0048666,GO:0048667,GO:0048699,GO:0048729,GO:0048731,GO:0048732,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0050730,GO:0050731,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050803,GO:0050804,GO:0050807,GO:0050877,GO:0050890,GO:0050896,GO:0051017,GO:0051093,GO:0051094,GO:0051128,GO:0051129,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051276,GO:0051293,GO:0051294,GO:0051321,GO:0051338,GO:0051347,GO:0051403,GO:0051493,GO:0051640,GO:0051641,GO:0051649,GO:0051653,GO:0051656,GO:0051674,GO:0051704,GO:0051716,GO:0051960,GO:0051961,GO:0051963,GO:0051964,GO:0055123,GO:0060255,GO:0060322,GO:0060429,GO:0060541,GO:0060795,GO:0060972,GO:0061458,GO:0061564,GO:0061572,GO:0061982,GO:0061988,GO:0065007,GO:0065008,GO:0065009,GO:0070192,GO:0070986,GO:0071679,GO:0071704,GO:0071840,GO:0071944,GO:0080090,GO:0090066,GO:0090136,GO:0097435,GO:0097485,GO:0098552,GO:0098562,GO:0098609,GO:0099080,GO:0099081,GO:0099177,GO:0099512,GO:0110053,GO:0120036,GO:0120039,GO:0140096,GO:1901564,GO:1902850,GO:1902903,GO:1903046,GO:1903047,GO:1904396,GO:1904397,GO:1905809,GO:1990890,GO:2000026	2.7.10.2	ko:K05703,ko:K05704,ko:K08892	ko01521,ko01522,ko04012,ko04013,ko04015,ko04062,ko04071,ko04072,ko04137,ko04144,ko04360,ko04370,ko04380,ko04510,ko04520,ko04530,ko04540,ko04611,ko04650,ko04660,ko04664,ko04725,ko04727,ko04750,ko04810,ko04912,ko04915,ko04917,ko04919,ko04921,ko04926,ko05020,ko05100,ko05120,ko05130,ko05131,ko05152,ko05161,ko05162,ko05167,ko05203,ko05205,ko05219,ko05416,ko05418,map01521,map01522,map04012,map04013,map04015,map04062,map04071,map04072,map04137,map04144,map04360,map04370,map04380,map04510,map04520,map04530,map04540,map04611,map04650,map04660,map04664,map04725,map04727,map04750,map04810,map04912,map04915,map04917,map04919,map04921,map04926,map05020,map05100,map05120,map05130,map05131,map05152,map05161,map05162,map05167,map05203,map05205,map05219,map05416,map05418	-	-	-	ko00000,ko00001,ko01000,ko01001,ko04131,ko04516	-	-	-	Pkinase_Tyr,SH2,SH3_1
gene-ASIM_LOCUS10914	135651.CBN04712	8.27e-196	560.0	COG0515@1|root,KOG0197@2759|Eukaryota,38E1B@33154|Opisthokonta,3BAZR@33208|Metazoa,3CTKV@33213|Bilateria,40BHK@6231|Nematoda,1KV82@119089|Chromadorea,40UW7@6236|Rhabditida	33208|Metazoa	T	Tyrosine kinase, catalytic domain	-	GO:0000003,GO:0000132,GO:0000165,GO:0000226,GO:0000278,GO:0000578,GO:0000902,GO:0000904,GO:0001700,GO:0001704,GO:0001706,GO:0001708,GO:0001711,GO:0001714,GO:0001891,GO:0001932,GO:0001934,GO:0002009,GO:0002064,GO:0002065,GO:0002066,GO:0002376,GO:0003002,GO:0003006,GO:0003008,GO:0003674,GO:0003824,GO:0004672,GO:0004713,GO:0004715,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006928,GO:0006935,GO:0006950,GO:0006952,GO:0006955,GO:0006996,GO:0007010,GO:0007015,GO:0007017,GO:0007043,GO:0007049,GO:0007154,GO:0007155,GO:0007163,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007254,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007293,GO:0007300,GO:0007301,GO:0007349,GO:0007350,GO:0007351,GO:0007369,GO:0007389,GO:0007391,GO:0007399,GO:0007409,GO:0007411,GO:0007417,GO:0007420,GO:0007424,GO:0007431,GO:0007435,GO:0007492,GO:0007548,GO:0007610,GO:0007611,GO:0007613,GO:0007616,GO:0008064,GO:0008150,GO:0008152,GO:0008302,GO:0008335,GO:0008406,GO:0008582,GO:0008595,GO:0009605,GO:0009653,GO:0009790,GO:0009792,GO:0009798,GO:0009880,GO:0009887,GO:0009888,GO:0009893,GO:0009898,GO:0009948,GO:0009952,GO:0009987,GO:0010562,GO:0010604,GO:0010646,GO:0016020,GO:0016043,GO:0016301,GO:0016310,GO:0016319,GO:0016331,GO:0016333,GO:0016477,GO:0016740,GO:0016772,GO:0016773,GO:0018108,GO:0018193,GO:0018212,GO:0019220,GO:0019222,GO:0019538,GO:0019897,GO:0019898,GO:0019953,GO:0022008,GO:0022402,GO:0022412,GO:0022414,GO:0022607,GO:0022610,GO:0022612,GO:0023014,GO:0023051,GO:0023052,GO:0030010,GO:0030029,GO:0030030,GO:0030036,GO:0030046,GO:0030154,GO:0030182,GO:0030707,GO:0030708,GO:0030717,GO:0030723,GO:0030725,GO:0030832,GO:0030855,GO:0031032,GO:0031098,GO:0031175,GO:0031234,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032504,GO:0032535,GO:0032956,GO:0032970,GO:0032989,GO:0032990,GO:0033043,GO:0033554,GO:0033674,GO:0034329,GO:0034330,GO:0034332,GO:0035239,GO:0035262,GO:0035272,GO:0035282,GO:0035295,GO:0035556,GO:0035987,GO:0036058,GO:0036211,GO:0038007,GO:0038083,GO:0040001,GO:0040008,GO:0040011,GO:0040012,GO:0040017,GO:0040019,GO:0042127,GO:0042221,GO:0042325,GO:0042327,GO:0042330,GO:0043062,GO:0043063,GO:0043085,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043292,GO:0043412,GO:0043549,GO:0044085,GO:0044087,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044421,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0044703,GO:0045087,GO:0045137,GO:0045165,GO:0045171,GO:0045172,GO:0045216,GO:0045478,GO:0045859,GO:0045860,GO:0045886,GO:0045926,GO:0045937,GO:0045995,GO:0046777,GO:0048138,GO:0048139,GO:0048167,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048546,GO:0048557,GO:0048562,GO:0048565,GO:0048566,GO:0048568,GO:0048598,GO:0048608,GO:0048609,GO:0048638,GO:0048640,GO:0048646,GO:0048666,GO:0048667,GO:0048699,GO:0048729,GO:0048731,GO:0048732,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0050730,GO:0050731,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050803,GO:0050804,GO:0050807,GO:0050877,GO:0050890,GO:0050896,GO:0051017,GO:0051093,GO:0051094,GO:0051128,GO:0051129,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051276,GO:0051293,GO:0051294,GO:0051321,GO:0051338,GO:0051347,GO:0051403,GO:0051493,GO:0051640,GO:0051641,GO:0051649,GO:0051653,GO:0051656,GO:0051674,GO:0051704,GO:0051716,GO:0051960,GO:0051961,GO:0051963,GO:0051964,GO:0055123,GO:0060255,GO:0060322,GO:0060429,GO:0060541,GO:0060795,GO:0060972,GO:0061458,GO:0061564,GO:0061572,GO:0061982,GO:0061988,GO:0065007,GO:0065008,GO:0065009,GO:0070192,GO:0070986,GO:0071679,GO:0071704,GO:0071840,GO:0071944,GO:0080090,GO:0090066,GO:0090136,GO:0097435,GO:0097485,GO:0098552,GO:0098562,GO:0098609,GO:0099080,GO:0099081,GO:0099177,GO:0099512,GO:0110053,GO:0120036,GO:0120039,GO:0140096,GO:1901564,GO:1902850,GO:1902903,GO:1903046,GO:1903047,GO:1904396,GO:1904397,GO:1905809,GO:1990890,GO:2000026	2.7.10.2	ko:K05703,ko:K05704,ko:K08892	ko01521,ko01522,ko04012,ko04013,ko04015,ko04062,ko04071,ko04072,ko04137,ko04144,ko04360,ko04370,ko04380,ko04510,ko04520,ko04530,ko04540,ko04611,ko04650,ko04660,ko04664,ko04725,ko04727,ko04750,ko04810,ko04912,ko04915,ko04917,ko04919,ko04921,ko04926,ko05020,ko05100,ko05120,ko05130,ko05131,ko05152,ko05161,ko05162,ko05167,ko05203,ko05205,ko05219,ko05416,ko05418,map01521,map01522,map04012,map04013,map04015,map04062,map04071,map04072,map04137,map04144,map04360,map04370,map04380,map04510,map04520,map04530,map04540,map04611,map04650,map04660,map04664,map04725,map04727,map04750,map04810,map04912,map04915,map04917,map04919,map04921,map04926,map05020,map05100,map05120,map05130,map05131,map05152,map05161,map05162,map05167,map05203,map05205,map05219,map05416,map05418	-	-	-	ko00000,ko00001,ko01000,ko01001,ko04131,ko04516	-	-	-	Pkinase_Tyr,SH2,SH3_1,SH3_9
gene-ASIM_LOCUS10916	135651.CBN01755	1.04e-27	119.0	KOG4823@1|root,KOG4823@2759|Eukaryota,3A0CY@33154|Opisthokonta,3BQ4V@33208|Metazoa,3D71Z@33213|Bilateria,40F6X@6231|Nematoda,1KXE5@119089|Chromadorea,40XKC@6236|Rhabditida	33208|Metazoa	S	Uncharacterised conserved protein (DUF2371)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2371
gene-ASIM_LOCUS10919	7209.EFO21313.2	2.05e-116	358.0	28HC5@1|root,2QPQJ@2759|Eukaryota,38B8P@33154|Opisthokonta,3B9C9@33208|Metazoa,3CRMG@33213|Bilateria,40E49@6231|Nematoda,1KZ5J@119089|Chromadorea	33208|Metazoa	S	N-Acetylglucosaminyltransferase-IV (GnT-IV) conserved region	-	-	2.4.1.145	ko:K00738	ko00510,ko00513,ko01100,map00510,map00513,map01100	M00075	R05987	-	ko00000,ko00001,ko00002,ko01000,ko01003	-	GT54	-	Glyco_transf_54
gene-ASIM_LOCUS10932	7209.EFO19832.2	5.66e-108	322.0	KOG3113@1|root,KOG3113@2759|Eukaryota,38H16@33154|Opisthokonta,3BCHG@33208|Metazoa,3D39N@33213|Bilateria,40CU5@6231|Nematoda,1KVET@119089|Chromadorea	33208|Metazoa	S	Rtf2 RING-finger	RTFDC1	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006274,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010453,GO:0019222,GO:0031494,GO:0034641,GO:0034645,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0045595,GO:0046483,GO:0050789,GO:0050793,GO:0050794,GO:0060255,GO:0065007,GO:0071170,GO:0071171,GO:0071514,GO:0071515,GO:0071516,GO:0071704,GO:0090304,GO:1901360,GO:1901576,GO:2000241	-	-	-	-	-	-	-	-	-	-	Rtf2
gene-ASIM_LOCUS10934	7209.EFO25198.2	2.76e-87	271.0	KOG1721@1|root,KOG1721@2759|Eukaryota,39QZB@33154|Opisthokonta,3BF42@33208|Metazoa,3D27Y@33213|Bilateria,40BYW@6231|Nematoda,1KV1X@119089|Chromadorea	33208|Metazoa	S	C2H2-type zinc finger	ZNF362	GO:0000003,GO:0000122,GO:0000902,GO:0000904,GO:0000976,GO:0000977,GO:0000981,GO:0001012,GO:0001067,GO:0001654,GO:0001708,GO:0002009,GO:0002165,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003705,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0006928,GO:0006935,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007399,GO:0007423,GO:0007444,GO:0007478,GO:0007480,GO:0007552,GO:0007560,GO:0008150,GO:0009605,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010941,GO:0014016,GO:0014019,GO:0016043,GO:0016358,GO:0019219,GO:0019222,GO:0019953,GO:0022008,GO:0022412,GO:0022414,GO:0022416,GO:0030030,GO:0030154,GO:0030182,GO:0031175,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032501,GO:0032502,GO:0032504,GO:0032989,GO:0032990,GO:0035107,GO:0035114,GO:0035120,GO:0035218,GO:0035239,GO:0035295,GO:0040011,GO:0040034,GO:0042221,GO:0042330,GO:0043067,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044424,GO:0044464,GO:0044703,GO:0045165,GO:0045892,GO:0045934,GO:0048468,GO:0048477,GO:0048513,GO:0048519,GO:0048523,GO:0048563,GO:0048569,GO:0048580,GO:0048581,GO:0048609,GO:0048666,GO:0048667,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048749,GO:0048812,GO:0048813,GO:0048856,GO:0048858,GO:0048863,GO:0048864,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051093,GO:0051171,GO:0051172,GO:0051239,GO:0051241,GO:0051252,GO:0051253,GO:0051704,GO:0060255,GO:0060429,GO:0060562,GO:0061062,GO:0061064,GO:0061065,GO:0061067,GO:0065007,GO:0070983,GO:0071840,GO:0080090,GO:0097159,GO:0097485,GO:0120036,GO:0120039,GO:0140110,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000026,GO:2000112,GO:2000113,GO:2001141	-	-	-	-	-	-	-	-	-	-	zf-C2H2
gene-ASIM_LOCUS10942	7209.EFO15418.2	8.23e-84	263.0	KOG3530@1|root,KOG3530@2759|Eukaryota,3AF8T@33154|Opisthokonta,3BX2Z@33208|Metazoa,3DE1H@33213|Bilateria,40G0B@6231|Nematoda,1KYP8@119089|Chromadorea	33208|Metazoa	U	Zona pellucida (ZP) domain	-	-	-	-	-	-	-	-	-	-	-	-	Zona_pellucida
gene-ASIM_LOCUS10948	7209.EFO20640.1	2.59e-250	733.0	COG4886@1|root,KOG4641@2759|Eukaryota,38EYJ@33154|Opisthokonta,3BIA8@33208|Metazoa,3D0YP@33213|Bilateria,40ATT@6231|Nematoda,1KU66@119089|Chromadorea	33208|Metazoa	T	Leucine rich repeats (6 copies)	TOLL6	GO:0000902,GO:0000904,GO:0002009,GO:0002227,GO:0002251,GO:0002376,GO:0002385,GO:0003401,GO:0003674,GO:0005030,GO:0006928,GO:0006935,GO:0006950,GO:0006952,GO:0006955,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0007399,GO:0007422,GO:0008150,GO:0009605,GO:0009607,GO:0009617,GO:0009653,GO:0009790,GO:0009792,GO:0009888,GO:0009889,GO:0009987,GO:0010033,GO:0010556,GO:0010559,GO:0016043,GO:0016358,GO:0019222,GO:0022008,GO:0023052,GO:0030030,GO:0030154,GO:0030182,GO:0031175,GO:0031323,GO:0031326,GO:0031399,GO:0032268,GO:0032501,GO:0032502,GO:0032989,GO:0032990,GO:0038023,GO:0038179,GO:0040007,GO:0040011,GO:0042221,GO:0042330,GO:0042742,GO:0043207,GO:0045087,GO:0048468,GO:0048589,GO:0048666,GO:0048667,GO:0048699,GO:0048729,GO:0048731,GO:0048812,GO:0048813,GO:0048856,GO:0048858,GO:0048869,GO:0048934,GO:0048935,GO:0050789,GO:0050794,GO:0050829,GO:0050896,GO:0051171,GO:0051246,GO:0051704,GO:0051707,GO:0051716,GO:0060026,GO:0060049,GO:0060089,GO:0060255,GO:0060429,GO:0060560,GO:0065007,GO:0070848,GO:0070887,GO:0070983,GO:0071310,GO:0071363,GO:0071840,GO:0080090,GO:0097485,GO:0098542,GO:0120036,GO:0120039,GO:1903018,GO:2000112	-	ko:K18808	-	-	-	-	ko00000	-	-	-	LRR_5,LRR_8,TIR,TIR_2
gene-ASIM_LOCUS10951	7209.EFO19981.1	2.73e-135	392.0	COG5111@1|root,KOG3233@2759|Eukaryota,390B7@33154|Opisthokonta,3BH9I@33208|Metazoa,3CZD0@33213|Bilateria,40CTU@6231|Nematoda,1KVCN@119089|Chromadorea	33208|Metazoa	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Specific peripheric component of RNA polymerase III which synthesizes small RNAs, such as 5S rRNA and tRNAs	POLR3F	GO:0000428,GO:0001817,GO:0001819,GO:0002682,GO:0002684,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003824,GO:0003899,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005666,GO:0005737,GO:0005829,GO:0006139,GO:0006355,GO:0006359,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0030880,GO:0031323,GO:0031326,GO:0031347,GO:0031349,GO:0031974,GO:0031981,GO:0032479,GO:0032481,GO:0032648,GO:0032728,GO:0032774,GO:0032991,GO:0034062,GO:0034641,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0045088,GO:0045089,GO:0046483,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0051171,GO:0051239,GO:0051240,GO:0051252,GO:0055029,GO:0060255,GO:0061695,GO:0065007,GO:0070013,GO:0071704,GO:0080090,GO:0080134,GO:0090304,GO:0097159,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902494,GO:1903506,GO:1990234,GO:2000112,GO:2001141	-	ko:K03025	ko00230,ko00240,ko01100,ko03020,ko04623,ko05169,map00230,map00240,map01100,map03020,map04623,map05169	M00181	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko03021	-	-	-	RNA_pol_Rpc34
gene-ASIM_LOCUS10953	1561998.Csp11.Scaffold502.g2329.t1	1.08e-96	299.0	COG0596@1|root,KOG4178@2759|Eukaryota,38GM9@33154|Opisthokonta,3BFEQ@33208|Metazoa,3CRPT@33213|Bilateria,40K38@6231|Nematoda,1M3FQ@119089|Chromadorea,4109U@6236|Rhabditida	33208|Metazoa	I	Alpha/beta hydrolase family	EPHX4	GO:0003674,GO:0003824,GO:0004301,GO:0006629,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016801,GO:0016803,GO:0044237,GO:0044238,GO:0044255,GO:0071704	-	ko:K22369	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Abhydrolase_1
gene-ASIM_LOCUS10963	7209.EFO25256.1	0.0	978.0	COG1626@1|root,KOG0602@2759|Eukaryota,38CKH@33154|Opisthokonta,3BBMJ@33208|Metazoa,3CRSP@33213|Bilateria,40BY3@6231|Nematoda,1KXQN@119089|Chromadorea	33208|Metazoa	G	Trehalase	TREH	GO:0003674,GO:0003824,GO:0004553,GO:0004555,GO:0005575,GO:0005623,GO:0005886,GO:0005903,GO:0005975,GO:0005984,GO:0005991,GO:0005993,GO:0007275,GO:0008150,GO:0008152,GO:0009056,GO:0009311,GO:0009313,GO:0009653,GO:0009887,GO:0009987,GO:0015927,GO:0016020,GO:0016052,GO:0016787,GO:0016798,GO:0031224,GO:0031225,GO:0031226,GO:0032501,GO:0032502,GO:0044237,GO:0044238,GO:0044248,GO:0044262,GO:0044275,GO:0044425,GO:0044459,GO:0044464,GO:0046352,GO:0046658,GO:0048513,GO:0048731,GO:0048856,GO:0071704,GO:0071944,GO:0098862,GO:1901575	3.2.1.28	ko:K01194	ko00500,ko01100,map00500,map01100	-	R00010	RC00049	ko00000,ko00001,ko00537,ko01000	-	GH37	-	Trehalase
