	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
2381					XP_009286232.1	84.9	677	0.0	Nr			XP_009286232.1 PREDICTED: ATP-binding cassette sub-family G member 4 [Aptenodytes forsteri]	642	Aptenodytes forsteri	PREDICTED: ATP-binding cassette sub-family G member 4
2382					A0A8C3JQG1	85.4	677	0.0	TrEMBL		A0A8C3JQG1_9CHAR	tr|A0A8C3JQG1|A0A8C3JQG1_9CHAR ATP binding cassette subfamily G member 4 OS=Calidris pygmaea OX=425635 PE=3 SV=1	642	Calidris pygmaea	ATP binding cassette subfamily G member 4
2383					A0A151NG53	85.1	677	0.0	TrEMBL	ABCG1	A0A151NG53_ALLMI	tr|A0A151NG53|A0A151NG53_ALLMI ATP-binding cassette sub-family G member 1 OS=Alligator mississippiensis OX=8496 GN=ABCG1 PE=3 SV=1	861	Alligator mississippiensis	ATP-binding cassette sub-family G member 1
2384					A0A7M4FTA0	85.2	677	0.0	TrEMBL	ABCG4	A0A7M4FTA0_CROPO	tr|A0A7M4FTA0|A0A7M4FTA0_CROPO ATP binding cassette subfamily G member 4 OS=Crocodylus porosus OX=8502 GN=ABCG4 PE=3 SV=1	642	Crocodylus porosus	ATP binding cassette subfamily G member 4
2385					A0A7K9XLF3	84.9	677	0.0	TrEMBL	Abcg4	A0A7K9XLF3_9GRUI	tr|A0A7K9XLF3|A0A7K9XLF3_9GRUI ABCG4 protein (Fragment) OS=Psophia crepitans OX=54359 GN=Abcg4 PE=3 SV=1	653	Psophia crepitans	ABCG4 protein (Fragment)
2386					A0A7L3XTT3	84.9	677	0.0	TrEMBL	Abcg4	A0A7L3XTT3_9AVES	tr|A0A7L3XTT3|A0A7L3XTT3_9AVES ABCG4 protein (Fragment) OS=Calonectris borealis OX=1323832 GN=Abcg4 PE=3 SV=1	666	Calonectris borealis	ABCG4 protein (Fragment)
2387					A0A663E8S2	84.9	677	0.0	TrEMBL	ABCG4	A0A663E8S2_AQUCH	tr|A0A663E8S2|A0A663E8S2_AQUCH ATP binding cassette subfamily G member 4 OS=Aquila chrysaetos chrysaetos OX=223781 GN=ABCG4 PE=3 SV=1	642	Aquila chrysaetos chrysaetos	ATP binding cassette subfamily G member 4
2388					A0A7K6ZBM1	84.8	677	0.0	TrEMBL	Abcg4	A0A7K6ZBM1_ALCTO	tr|A0A7K6ZBM1|A0A7K6ZBM1_ALCTO ABCG4 protein (Fragment) OS=Alca torda OX=28689 GN=Abcg4 PE=3 SV=1	653	Alca torda	ABCG4 protein (Fragment)
2389					A0A7L1K9P6	84.8	677	0.0	TrEMBL	Abcg4	A0A7L1K9P6_RYNNI	tr|A0A7L1K9P6|A0A7L1K9P6_RYNNI ABCG4 protein (Fragment) OS=Rynchops niger OX=227184 GN=Abcg4 PE=3 SV=1	653	Rynchops niger	ABCG4 protein (Fragment)
2390					A0A8B9NRG2	84.8	676	0.0	TrEMBL		A0A8B9NRG2_APTOW	tr|A0A8B9NRG2|A0A8B9NRG2_APTOW ATP binding cassette subfamily G member 4 OS=Apteryx owenii OX=8824 PE=3 SV=1	642	Apteryx owenii	ATP binding cassette subfamily G member 4
2391					A0A8C3CET1	84.8	676	0.0	TrEMBL		A0A8C3CET1_CAIMO	tr|A0A8C3CET1|A0A8C3CET1_CAIMO ATP binding cassette subfamily G member 4 OS=Cairina moschata domestica OX=1240228 PE=3 SV=1	641	Cairina moschata domestica	ATP binding cassette subfamily G member 4
2392					A0A8B9NBF0	84.9	677	0.0	TrEMBL		A0A8B9NBF0_9AVES	tr|A0A8B9NBF0|A0A8B9NBF0_9AVES ATP binding cassette subfamily G member 4 OS=Accipiter nisus OX=211598 PE=3 SV=1	691	Accipiter nisus	ATP binding cassette subfamily G member 4
2393					A0A7L3YYQ4	84.9	677	0.0	TrEMBL	Abcg4	A0A7L3YYQ4_FREGA	tr|A0A7L3YYQ4|A0A7L3YYQ4_FREGA ABCG4 protein (Fragment) OS=Fregetta grallaria OX=79628 GN=Abcg4 PE=3 SV=1	666	Fregetta grallaria	ABCG4 protein (Fragment)
2394					A0A7L2HPW1	84.9	677	0.0	TrEMBL	Abcg4	A0A7L2HPW1_SAGSE	tr|A0A7L2HPW1|A0A7L2HPW1_SAGSE ABCG4 protein (Fragment) OS=Sagittarius serpentarius OX=56258 GN=Abcg4 PE=3 SV=1	653	Sagittarius serpentarius	ABCG4 protein (Fragment)
2395					A0A851ABH2	84.9	677	0.0	TrEMBL	Abcg4	A0A851ABH2_SULDA	tr|A0A851ABH2|A0A851ABH2_SULDA ABCG4 protein (Fragment) OS=Sula dactylatra OX=56068 GN=Abcg4 PE=3 SV=1	667	Sula dactylatra	ABCG4 protein (Fragment)
2396					A0A8B9VGR6	84.8	676	0.0	TrEMBL		A0A8B9VGR6_9AVES	tr|A0A8B9VGR6|A0A8B9VGR6_9AVES ATP binding cassette subfamily G member 4 OS=Anas zonorhyncha OX=75864 PE=3 SV=1	685	Anas zonorhyncha	ATP binding cassette subfamily G member 4
2397					A0A8C4UJ38	84.8	677	0.0	TrEMBL		A0A8C4UJ38_FALTI	tr|A0A8C4UJ38|A0A8C4UJ38_FALTI ATP binding cassette subfamily G member 4 OS=Falco tinnunculus OX=100819 PE=3 SV=1	642	Falco tinnunculus	ATP binding cassette subfamily G member 4
2398					A0A7K9M8M5	84.9	677	0.0	TrEMBL	Abcg4	A0A7K9M8M5_OCETE	tr|A0A7K9M8M5|A0A7K9M8M5_OCETE ABCG4 protein (Fragment) OS=Oceanodroma tethys OX=79633 GN=Abcg4 PE=3 SV=1	653	Oceanodroma tethys	ABCG4 protein (Fragment)
2399					A0A8B9QUA4	84.8	676	0.0	TrEMBL	ABCG4	A0A8B9QUA4_ANAPL	tr|A0A8B9QUA4|A0A8B9QUA4_ANAPL ATP binding cassette subfamily G member 4 OS=Anas platyrhynchos OX=8839 GN=ABCG4 PE=3 SV=1	685	Anas platyrhynchos	ATP binding cassette subfamily G member 4
2400					A0A8B9QT14	84.8	676	0.0	TrEMBL	ABCG4	A0A8B9QT14_ANAPL	tr|A0A8B9QT14|A0A8B9QT14_ANAPL ATP binding cassette subfamily G member 4 OS=Anas platyrhynchos OX=8839 GN=ABCG4 PE=3 SV=1	641	Anas platyrhynchos	ATP binding cassette subfamily G member 4
2401					A0A8B9ZFG4	84.8	676	0.0	TrEMBL		A0A8B9ZFG4_ANAPL	tr|A0A8B9ZFG4|A0A8B9ZFG4_ANAPL ABC transporter domain-containing protein OS=Anas platyrhynchos OX=8839 PE=3 SV=1	656	Anas platyrhynchos	ABC transporter domain-containing protein
2402					A0A8C0F172	84.8	677	0.0	TrEMBL		A0A8C0F172_BUBBB	tr|A0A8C0F172|A0A8C0F172_BUBBB ATP binding cassette subfamily G member 4 OS=Bubo bubo OX=30461 PE=3 SV=1	645	Bubo bubo	ATP binding cassette subfamily G member 4
2403					A0A7K8XB97	84.8	677	0.0	TrEMBL	Abcg4	A0A7K8XB97_9PICI	tr|A0A7K8XB97|A0A7K8XB97_9PICI ABCG4 protein (Fragment) OS=Eubucco bourcierii OX=91767 GN=Abcg4 PE=3 SV=1	653	Eubucco bourcierii	ABCG4 protein (Fragment)
2404					A0A226N4I3	84.6	676	0.0	TrEMBL	ASZ78_009474	A0A226N4I3_CALSU	tr|A0A226N4I3|A0A226N4I3_CALSU ABC transporter domain-containing protein (Fragment) OS=Callipepla squamata OX=9009 GN=ASZ78_009474 PE=3 SV=1	680	Callipepla squamata	ABC transporter domain-containing protein (Fragment)
2405					A0A8C4JYV5	84.8	676	0.0	TrEMBL	ABCG4	A0A8C4JYV5_DRONO	tr|A0A8C4JYV5|A0A8C4JYV5_DRONO ATP binding cassette subfamily G member 4 OS=Dromaius novaehollandiae OX=8790 GN=ABCG4 PE=3 SV=1	642	Dromaius novaehollandiae	ATP binding cassette subfamily G member 4
2406					A0A663LYK0	84.8	677	0.0	TrEMBL	ABCG4	A0A663LYK0_ATHCN	tr|A0A663LYK0|A0A663LYK0_ATHCN ATP binding cassette subfamily G member 4 OS=Athene cunicularia OX=194338 GN=ABCG4 PE=3 SV=1	642	Athene cunicularia	ATP binding cassette subfamily G member 4
2407					Q9H172	79.3	686	0.0	Swiss-Prot	ABCG4	ABCG4_HUMAN	sp|Q9H172|ABCG4_HUMAN ATP-binding cassette sub-family G member 4 OS=Homo sapiens OX=9606 GN=ABCG4 PE=1 SV=2	646	Homo sapiens	ATP-binding cassette sub-family G member 4
2408					Q91WA9	78.5	685	0.0	Swiss-Prot	Abcg4	ABCG4_MOUSE	sp|Q91WA9|ABCG4_MOUSE ATP-binding cassette subfamily G member 4 OS=Mus musculus OX=10090 GN=Abcg4 PE=1 SV=2	646	Mus musculus	ATP-binding cassette subfamily G member 4
2409					D3ZCM3	77.8	689	0.0	Swiss-Prot	Abcg4	ABCG4_RAT	sp|D3ZCM3|ABCG4_RAT ATP-binding cassette subfamily G member 4 OS=Rattus norvegicus OX=10116 GN=Abcg4 PE=2 SV=1	650	Rattus norvegicus	ATP-binding cassette subfamily G member 4
2410					Q64343	69.4	679	0.0	Swiss-Prot	Abcg1	ABCG1_MOUSE	sp|Q64343|ABCG1_MOUSE ATP-binding cassette sub-family G member 1 OS=Mus musculus OX=10090 GN=Abcg1 PE=1 SV=1	666	Mus musculus	ATP-binding cassette sub-family G member 1
2411					P45844	68.4	687	1.5e-318	Swiss-Prot	ABCG1	ABCG1_HUMAN	sp|P45844|ABCG1_HUMAN ATP-binding cassette sub-family G member 1 OS=Homo sapiens OX=9606 GN=ABCG1 PE=1 SV=3	678	Homo sapiens	ATP-binding cassette sub-family G member 1
2412					P10090	32.4	599	1.5599999999999998e-82	Swiss-Prot	w	WHITE_DROME	sp|P10090|WHITE_DROME Protein white OS=Drosophila melanogaster OX=7227 GN=w PE=1 SV=2	687	Drosophila melanogaster	Protein white
2413					Q27256	32.2	615	1.45e-76	Swiss-Prot	w	WHITE_ANOGA	sp|Q27256|WHITE_ANOGA Protein white OS=Anopheles gambiae OX=7165 GN=w PE=2 SV=1	695	Anopheles gambiae	Protein white
2414					Q17320	31.7	599	2.03e-76	Swiss-Prot	W	WHITE_CERCA	sp|Q17320|WHITE_CERCA Protein white OS=Ceratitis capitata OX=7213 GN=W PE=2 SV=1	679	Ceratitis capitata	Protein white
2415					Q05360	32.8	524	2.71e-76	Swiss-Prot	W	WHITE_LUCCU	sp|Q05360|WHITE_LUCCU Protein white OS=Lucilia cuprina OX=7375 GN=W PE=2 SV=2	677	Lucilia cuprina	Protein white
2416					Q9C6W5	32.1	580	1.5200000000000002e-73	Swiss-Prot	ABCG14	AB14G_ARATH	sp|Q9C6W5|AB14G_ARATH ABC transporter G family member 14 OS=Arabidopsis thaliana OX=3702 GN=ABCG14 PE=1 SV=1	648	Arabidopsis thaliana	ABC transporter G family member 14
2417					Q55DW4	29.0	659	8.1e-72	Swiss-Prot	abcG1	ABCG1_DICDI	sp|Q55DW4|ABCG1_DICDI ABC transporter G family member 1 OS=Dictyostelium discoideum OX=44689 GN=abcG1 PE=3 SV=1	793	Dictyostelium discoideum	ABC transporter G family member 1
2418					Q11180	29.5	596	1.7200000000000002e-70	Swiss-Prot	wht-1	WHT1_CAEEL	sp|Q11180|WHT1_CAEEL ABC transporter ATP-binding protein/permease wht-1 OS=Caenorhabditis elegans OX=6239 GN=wht-1 PE=2 SV=3	671	Caenorhabditis elegans	ABC transporter ATP-binding protein/permease wht-1
2419					Q7XA72	31.7	589	1.76e-70	Swiss-Prot	ABCG21	AB21G_ARATH	sp|Q7XA72|AB21G_ARATH ABC transporter G family member 21 OS=Arabidopsis thaliana OX=3702 GN=ABCG21 PE=2 SV=2	672	Arabidopsis thaliana	ABC transporter G family member 21
2420					Q84TH5	30.4	585	9.61e-66	Swiss-Prot	ABCG25	AB25G_ARATH	sp|Q84TH5|AB25G_ARATH ABC transporter G family member 25 OS=Arabidopsis thaliana OX=3702 GN=ABCG25 PE=1 SV=1	662	Arabidopsis thaliana	ABC transporter G family member 25
2421					Q16928	31.2	548	1.5900000000000001e-65	Swiss-Prot	W	WHITE_ANOAL	sp|Q16928|WHITE_ANOAL Protein white OS=Anopheles albimanus OX=7167 GN=W PE=3 SV=1	709	Anopheles albimanus	Protein white
2422					Q9SZR9	31.1	533	4.21e-64	Swiss-Prot	ABCG9	AB9G_ARATH	sp|Q9SZR9|AB9G_ARATH ABC transporter G family member 9 OS=Arabidopsis thaliana OX=3702 GN=ABCG9 PE=1 SV=2	638	Arabidopsis thaliana	ABC transporter G family member 9
2423					Q9UNQ0	31.8	510	1.1e-63	Swiss-Prot	ABCG2	ABCG2_HUMAN	sp|Q9UNQ0|ABCG2_HUMAN Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Homo sapiens OX=9606 GN=ABCG2 PE=1 SV=3	655	Homo sapiens	Broad substrate specificity ATP-binding cassette transporter ABCG2
2424					Q9LK50	30.7	535	1.87e-63	Swiss-Prot	ABCG26	AB26G_ARATH	sp|Q9LK50|AB26G_ARATH ABC transporter G family member 26 OS=Arabidopsis thaliana OX=3702 GN=ABCG26 PE=2 SV=2	685	Arabidopsis thaliana	ABC transporter G family member 26
2425					Q5MB13	31.6	509	2.07e-63	Swiss-Prot	ABCG2	ABCG2_MACMU	sp|Q5MB13|ABCG2_MACMU Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Macaca mulatta OX=9544 GN=ABCG2 PE=2 SV=1	654	Macaca mulatta	Broad substrate specificity ATP-binding cassette transporter ABCG2
2426					Q9ZU35	30.0	517	3.58e-63	Swiss-Prot	ABCG7	AB7G_ARATH	sp|Q9ZU35|AB7G_ARATH ABC transporter G family member 7 OS=Arabidopsis thaliana OX=3702 GN=ABCG7 PE=2 SV=1	725	Arabidopsis thaliana	ABC transporter G family member 7
2427					Q8MIB3	30.8	520	2.07e-62	Swiss-Prot	ABCG2	ABCG2_PIG	sp|Q8MIB3|ABCG2_PIG Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Sus scrofa OX=9823 GN=ABCG2 PE=2 SV=1	656	Sus scrofa	Broad substrate specificity ATP-binding cassette transporter ABCG2
2428					Q93YS4	30.8	529	2.63e-62	Swiss-Prot	ABCG22	AB22G_ARATH	sp|Q93YS4|AB22G_ARATH ABC transporter G family member 22 OS=Arabidopsis thaliana OX=3702 GN=ABCG22 PE=1 SV=1	751	Arabidopsis thaliana	ABC transporter G family member 22
2429					Q9FT51	29.0	552	3.8e-61	Swiss-Prot	ABCG27	AB27G_ARATH	sp|Q9FT51|AB27G_ARATH ABC transporter G family member 27 OS=Arabidopsis thaliana OX=3702 GN=ABCG27 PE=2 SV=1	737	Arabidopsis thaliana	ABC transporter G family member 27
2430					Q80W57	30.5	508	3.85e-61	Swiss-Prot	Abcg2	ABCG2_RAT	sp|Q80W57|ABCG2_RAT Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Rattus norvegicus OX=10116 GN=Abcg2 PE=1 SV=1	657	Rattus norvegicus	Broad substrate specificity ATP-binding cassette transporter ABCG2
2431					Q4GZT4	30.0	517	5.1399999999999996e-61	Swiss-Prot	ABCG2	ABCG2_BOVIN	sp|Q4GZT4|ABCG2_BOVIN Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Bos taurus OX=9913 GN=ABCG2 PE=3 SV=2	655	Bos taurus	Broad substrate specificity ATP-binding cassette transporter ABCG2
2432	Cluster-80718.15733_A0.TRINITY_DN1099_c0_g3_i1	salamandra_salamandra_fast-slow_blastx	24.6020034606774	5.06133791422763e-12	KAJ1173023.1	89.8	873	0.0	Nr			KAJ1173023.1 hypothetical protein NDU88_004865 [Pleurodeles waltl]	866	Pleurodeles waltl	hypothetical protein NDU88_004865
2433					XP_029440450.1	73.1	872	4.5800000000000004e-273	Nr			XP_029440450.1 low-density lipoprotein receptor [Rhinatrema bivittatum]	888	Rhinatrema bivittatum	low-density lipoprotein receptor
2434					A0A6P7XR24	73.3	868	2.2000000000000002e-272	TrEMBL	LDLR	A0A6P7XR24_9AMPH	tr|A0A6P7XR24|A0A6P7XR24_9AMPH low-density lipoprotein receptor OS=Microcaecilia unicolor OX=1415580 GN=LDLR PE=4 SV=1	880	Microcaecilia unicolor	low-density lipoprotein receptor
2435					XP_030052874.1	73.3	868	5.6400000000000005e-272	Nr			XP_030052874.1 low-density lipoprotein receptor [Microcaecilia unicolor]	880	Microcaecilia unicolor	low-density lipoprotein receptor
2436					B7ZSH2	73.1	874	1.2e-261	TrEMBL	ldlr2-a	B7ZSH2_XENLA	tr|B7ZSH2|B7ZSH2_XENLA Ldlr2-a protein OS=Xenopus laevis OX=8355 GN=ldlr2-a PE=2 SV=1	892	Xenopus laevis	Ldlr2-a protein
2437					OCT59325.1	73.2	874	1.54e-261	Nr			OCT59325.1 hypothetical protein XELAEV_18000746mg [Xenopus laevis]	892	Xenopus laevis	hypothetical protein XELAEV_18000746mg
2438					AAI70522.1	73.1	874	3.09e-261	Nr			AAI70522.1 Ldlr2-a protein [Xenopus laevis]	892	Xenopus laevis	Ldlr2-a protein
2439					Q99087	68.7	910	5.56e-261	Swiss-Prot	ldlr-a	LDLR1_XENLA	sp|Q99087|LDLR1_XENLA Low-density lipoprotein receptor 1 OS=Xenopus laevis OX=8355 GN=ldlr-a PE=1 SV=1	909	Xenopus laevis	Low-density lipoprotein receptor 1
2440					Q99088	72.5	874	1.8e-260	Swiss-Prot	ldlr-b	LDLR2_XENLA	sp|Q99088|LDLR2_XENLA Low-density lipoprotein receptor 2 OS=Xenopus laevis OX=8355 GN=ldlr-b PE=2 SV=1	892	Xenopus laevis	Low-density lipoprotein receptor 2
2441					OCT56748.1	71.0	910	5.11e-259	Nr			OCT56748.1 hypothetical protein XELAEV_18004433mg [Xenopus laevis]	910	Xenopus laevis	hypothetical protein XELAEV_18004433mg
2442					B7ZRZ8	69.1	910	2.19e-258	TrEMBL	LOC397757	B7ZRZ8_XENLA	tr|B7ZRZ8|B7ZRZ8_XENLA Low density lipoprotein receptor-1 OS=Xenopus laevis OX=8355 GN=LOC397757 PE=2 SV=1	909	Xenopus laevis	Low density lipoprotein receptor-1
2443					AAI70345.1	69.1	910	5.61e-258	Nr			AAI70345.1 Low density lipoprotein receptor-1 [Xenopus laevis]	909	Xenopus laevis	Low density lipoprotein receptor-1
2444					NP_001081290.1	68.7	910	5.61e-258	Nr			NP_001081290.1 low-density lipoprotein receptor 1 precursor [Xenopus laevis]	909	Xenopus laevis	low-density lipoprotein receptor 1 precursor
2445					NP_001079111.1	72.5	874	1.82e-257	Nr			NP_001079111.1 low-density lipoprotein receptor 2 precursor [Xenopus laevis]	892	Xenopus laevis	low-density lipoprotein receptor 2 precursor
2446					A0A6I8SL03	70.9	880	2.22e-254	TrEMBL	ldlr	A0A6I8SL03_XENTR	tr|A0A6I8SL03|A0A6I8SL03_XENTR Low-density lipoprotein receptor OS=Xenopus tropicalis OX=8364 GN=ldlr PE=4 SV=1	894	Xenopus tropicalis	Low-density lipoprotein receptor
2447					XP_002942891.1	70.9	880	5.69e-254	Nr			XP_002942891.1 low-density lipoprotein receptor [Xenopus tropicalis]	894	Xenopus tropicalis	low-density lipoprotein receptor
2448					XP_053319197.1	72.5	890	5.79e-254	Nr			XP_053319197.1 low-density lipoprotein receptor [Spea bombifrons]	884	Spea bombifrons	low-density lipoprotein receptor
2449					XP_031803418.1	66.5	883	3.2600000000000004e-252	Nr			XP_031803418.1 low-density lipoprotein receptor isoform X2 [Sarcophilus harrisii]	859	Sarcophilus harrisii	low-density lipoprotein receptor isoform X2
2450					G3W664	66.5	883	1.0500000000000001e-251	TrEMBL	LDLR	G3W664_SARHA	tr|G3W664|G3W664_SARHA Low density lipoprotein receptor OS=Sarcophilus harrisii OX=9305 GN=LDLR PE=4 SV=2	860	Sarcophilus harrisii	Low density lipoprotein receptor
2451					A0A6P5L4K4	66.3	875	1.16e-251	TrEMBL	LDLR	A0A6P5L4K4_PHACI	tr|A0A6P5L4K4|A0A6P5L4K4_PHACI low-density lipoprotein receptor isoform X2 OS=Phascolarctos cinereus OX=38626 GN=LDLR PE=4 SV=1	863	Phascolarctos cinereus	low-density lipoprotein receptor isoform X2
2452					A0A6P5L166	66.4	875	1.7e-251	TrEMBL	LDLR	A0A6P5L166_PHACI	tr|A0A6P5L166|A0A6P5L166_PHACI low-density lipoprotein receptor isoform X1 OS=Phascolarctos cinereus OX=38626 GN=LDLR PE=4 SV=1	864	Phascolarctos cinereus	low-density lipoprotein receptor isoform X1
2453					XP_031803417.1	66.5	883	2.7100000000000002e-251	Nr			XP_031803417.1 low-density lipoprotein receptor isoform X1 [Sarcophilus harrisii]	860	Sarcophilus harrisii	low-density lipoprotein receptor isoform X1
2454					XP_020850536.1	66.3	875	2.99e-251	Nr			XP_020850536.1 low-density lipoprotein receptor isoform X2 [Phascolarctos cinereus]	863	Phascolarctos cinereus	low-density lipoprotein receptor isoform X2
2455					XP_020850534.1	66.4	875	4.37e-251	Nr			XP_020850534.1 low-density lipoprotein receptor isoform X1 [Phascolarctos cinereus]	864	Phascolarctos cinereus	low-density lipoprotein receptor isoform X1
2456					A0A4X2KTH1	66.1	876	2.73e-250	TrEMBL	LDLR	A0A4X2KTH1_VOMUR	tr|A0A4X2KTH1|A0A4X2KTH1_VOMUR Low density lipoprotein receptor OS=Vombatus ursinus OX=29139 GN=LDLR PE=4 SV=1	864	Vombatus ursinus	Low density lipoprotein receptor
2457					XP_027706677.1	66.0	876	4.8e-250	Nr			XP_027706677.1 low-density lipoprotein receptor isoform X2 [Vombatus ursinus]	863	Vombatus ursinus	low-density lipoprotein receptor isoform X2
2458					XP_027706676.1	66.1	876	7.02e-250	Nr			XP_027706676.1 low-density lipoprotein receptor isoform X1 [Vombatus ursinus]	864	Vombatus ursinus	low-density lipoprotein receptor isoform X1
2459					XP_044526123.1	67.1	875	9.869999999999999e-250	Nr			XP_044526123.1 LOW QUALITY PROTEIN: low-density lipoprotein receptor [Gracilinanus agilis]	906	Gracilinanus agilis	LOW QUALITY PROTEIN: low-density lipoprotein receptor
2460					XP_051827514.1	65.7	880	1.11e-248	Nr			XP_051827514.1 low-density lipoprotein receptor isoform X2 [Antechinus flavipes]	853	Antechinus flavipes	low-density lipoprotein receptor isoform X2
2461					XP_007488583.1	66.2	875	1.5300000000000001e-248	Nr			XP_007488583.1 PREDICTED: low-density lipoprotein receptor isoform X3 [Monodelphis domestica]	905	Monodelphis domestica	PREDICTED: low-density lipoprotein receptor isoform X3
2462					XP_034996766.1	65.6	882	2.94e-248	Nr			XP_034996766.1 low-density lipoprotein receptor [Zootoca vivipara]	872	Zootoca vivipara	low-density lipoprotein receptor
2463					XP_043826784.1	66.0	877	1.2e-247	Nr			XP_043826784.1 low-density lipoprotein receptor isoform X2 [Dromiciops gliroides]	862	Dromiciops gliroides	low-density lipoprotein receptor isoform X2
2464					XP_007488582.1	66.1	876	1.23e-247	Nr			XP_007488582.1 PREDICTED: low-density lipoprotein receptor isoform X2 [Monodelphis domestica]	905	Monodelphis domestica	PREDICTED: low-density lipoprotein receptor isoform X2
2465					A0A670KC06	65.6	884	1.3400000000000002e-247	TrEMBL	LDLR	A0A670KC06_PODMU	tr|A0A670KC06|A0A670KC06_PODMU Low density lipoprotein receptor OS=Podarcis muralis OX=64176 GN=LDLR PE=4 SV=1	873	Podarcis muralis	Low density lipoprotein receptor
2466					XP_028567737.1	65.6	884	3.45e-247	Nr			XP_028567737.1 low-density lipoprotein receptor [Podarcis muralis]	873	Podarcis muralis	low-density lipoprotein receptor
2467					F7BQZ9	66.1	876	3.95e-247	TrEMBL	LDLR	F7BQZ9_MONDO	tr|F7BQZ9|F7BQZ9_MONDO Low density lipoprotein receptor OS=Monodelphis domestica OX=13616 GN=LDLR PE=4 SV=2	906	Monodelphis domestica	Low density lipoprotein receptor
2468					XP_007668014.1	67.9	893	4.57e-247	Nr			XP_007668014.1 low-density lipoprotein receptor isoform X2 [Ornithorhynchus anatinus]	871	Ornithorhynchus anatinus	low-density lipoprotein receptor isoform X2
2469					F7EGG3	70.8	867	9.57e-247	TrEMBL	ldlr	F7EGG3_XENTR	tr|F7EGG3|F7EGG3_XENTR Low density lipoprotein receptor OS=Xenopus tropicalis OX=8364 GN=ldlr PE=4 SV=3	880	Xenopus tropicalis	Low density lipoprotein receptor
2470					A0A6I8RKV6	70.4	871	2.2299999999999998e-246	TrEMBL	ldlr	A0A6I8RKV6_XENTR	tr|A0A6I8RKV6|A0A6I8RKV6_XENTR Low density lipoprotein receptor OS=Xenopus tropicalis OX=8364 GN=ldlr PE=4 SV=1	938	Xenopus tropicalis	Low density lipoprotein receptor
2471					A0A667GLE5	62.7	873	9.69e-246	TrEMBL	LDLR	A0A667GLE5_LYNCA	tr|A0A667GLE5|A0A667GLE5_LYNCA Low density lipoprotein receptor OS=Lynx canadensis OX=61383 GN=LDLR PE=4 SV=1	866	Lynx canadensis	Low density lipoprotein receptor
2472					P01131	63.1	867	7.21e-245	Swiss-Prot	LDLR	LDLR_BOVIN	sp|P01131|LDLR_BOVIN Low-density lipoprotein receptor OS=Bos taurus OX=9913 GN=LDLR PE=1 SV=2	845	Bos taurus	Low-density lipoprotein receptor
2473					A0A8C9D4Z3	63.1	873	1.55e-244	TrEMBL	LDLR	A0A8C9D4Z3_PANLE	tr|A0A8C9D4Z3|A0A8C9D4Z3_PANLE Low density lipoprotein receptor OS=Panthera leo OX=9689 GN=LDLR PE=4 SV=1	866	Panthera leo	Low density lipoprotein receptor
2474					A0A8C9D4Y2	63.4	864	1.8899999999999997e-244	TrEMBL	LDLR	A0A8C9D4Y2_PANLE	tr|A0A8C9D4Y2|A0A8C9D4Y2_PANLE Low density lipoprotein receptor OS=Panthera leo OX=9689 GN=LDLR PE=4 SV=1	872	Panthera leo	Low density lipoprotein receptor
2475					A0A5N3WJ33	63.7	864	4.1099999999999995e-244	TrEMBL	FD754_005630	A0A5N3WJ33_MUNMU	tr|A0A5N3WJ33|A0A5N3WJ33_MUNMU EGF-like domain-containing protein (Fragment) OS=Muntiacus muntjak OX=9888 GN=FD754_005630 PE=4 SV=1	822	Muntiacus muntjak	EGF-like domain-containing protein (Fragment)
2476					A0A6P6H7D4	62.4	873	8.81e-244	TrEMBL	LDLR	A0A6P6H7D4_PUMCO	tr|A0A6P6H7D4|A0A6P6H7D4_PUMCO low-density lipoprotein receptor OS=Puma concolor OX=9696 GN=LDLR PE=4 SV=1	866	Puma concolor	low-density lipoprotein receptor
2477					A0A337SRL4	63.9	873	1.76e-243	TrEMBL	LDLR	A0A337SRL4_FELCA	tr|A0A337SRL4|A0A337SRL4_FELCA Low density lipoprotein receptor OS=Felis catus OX=9685 GN=LDLR PE=4 SV=1	866	Felis catus	Low density lipoprotein receptor
2478					A0A6J1YMG4	62.4	873	2.2599999999999998e-243	TrEMBL	LDLR	A0A6J1YMG4_ACIJB	tr|A0A6J1YMG4|A0A6J1YMG4_ACIJB low-density lipoprotein receptor isoform X1 OS=Acinonyx jubatus OX=32536 GN=LDLR PE=4 SV=1	863	Acinonyx jubatus	low-density lipoprotein receptor isoform X1
2479					A0A5J5N526	63.5	864	2.33e-243	TrEMBL	FD755_002278	A0A5J5N526_MUNRE	tr|A0A5J5N526|A0A5J5N526_MUNRE EGF-like domain-containing protein (Fragment) OS=Muntiacus reevesi OX=9886 GN=FD755_002278 PE=4 SV=1	822	Muntiacus reevesi	EGF-like domain-containing protein (Fragment)
