	transcript	row	log2FoldChange	padj	protein_accession	sequence_identity	alignment_length	evalue	database	gene	locus_name	sequence_description	sequence_length	organism	protein_product
1685					KAE8629784.1	64.0	383	2.0300000000000002e-133	Nr			KAE8629784.1 hypothetical protein XENTR_v10000591 [Xenopus tropicalis]	411	Xenopus tropicalis	hypothetical protein XENTR_v10000591
1686					KAE8629783.1	63.0	389	9.21e-131	Nr			KAE8629783.1 hypothetical protein XENTR_v10000591 [Xenopus tropicalis]	417	Xenopus tropicalis	hypothetical protein XENTR_v10000591
1687					XP_029442388.1	50.7	487	5.99e-106	Nr			XP_029442388.1 cilia- and flagella-associated protein 97 isoform X1 [Rhinatrema bivittatum]	479	Rhinatrema bivittatum	cilia- and flagella-associated protein 97 isoform X1
1688					XP_044873253.1	49.4	498	3.81e-101	Nr			XP_044873253.1 cilia- and flagella-associated protein 97 [Mauremys mutica]	491	Mauremys mutica	cilia- and flagella-associated protein 97
1689					A0A674ILI9	48.7	501	9.1e-101	TrEMBL	CFAP97	A0A674ILI9_TERCA	tr|A0A674ILI9|A0A674ILI9_TERCA Cilia- and flagella-associated protein 97 OS=Terrapene carolina triunguis OX=2587831 GN=CFAP97 PE=3 SV=1	494	Terrapene carolina triunguis	Cilia- and flagella-associated protein 97
1690					XP_024075006.1	48.7	501	2.34e-100	Nr			XP_024075006.1 cilia- and flagella-associated protein 97 [Terrapene carolina triunguis]	494	Terrapene carolina triunguis	cilia- and flagella-associated protein 97
1691					A0A4D9F9N0	48.5	501	7.2e-100	TrEMBL	DR999_PMT00463	A0A4D9F9N0_9SAUR	tr|A0A4D9F9N0|A0A4D9F9N0_9SAUR Cilia- and flagella-associated protein 97 OS=Platysternon megacephalum OX=55544 GN=DR999_PMT00463 PE=3 SV=1	494	Platysternon megacephalum	Cilia- and flagella-associated protein 97
1692					A0A8C3SFR2	48.3	499	9.040000000000001e-100	TrEMBL	CFAP97	A0A8C3SFR2_CHESE	tr|A0A8C3SFR2|A0A8C3SFR2_CHESE Cilia- and flagella-associated protein 97 OS=Chelydra serpentina OX=8475 GN=CFAP97 PE=3 SV=1	490	Chelydra serpentina	Cilia- and flagella-associated protein 97
1693					XP_034626586.1	48.5	501	9.28e-100	Nr			XP_034626586.1 cilia- and flagella-associated protein 97 [Trachemys scripta elegans]	494	Trachemys scripta elegans	cilia- and flagella-associated protein 97
1694					TFK16048.1	48.5	501	1.85e-99	Nr			TFK16048.1 proline-rich membrane anchor 1 [Platysternon megacephalum]	494	Platysternon megacephalum	proline-rich membrane anchor 1
1695					KAG6933532.1	48.3	499	2.3200000000000002e-99	Nr			KAG6933532.1 cilia and flagella associated protein 97 [Chelydra serpentina]	490	Chelydra serpentina	cilia and flagella associated protein 97
1696					XP_023961101.1	48.3	501	1.04e-98	Nr			XP_023961101.1 LOW QUALITY PROTEIN: cilia- and flagella-associated protein 97 [Chrysemys picta bellii]	494	Chrysemys picta bellii	LOW QUALITY PROTEIN: cilia- and flagella-associated protein 97
1697					A0A8C8SEQ9	48.7	495	1.69e-98	TrEMBL		A0A8C8SEQ9_9SAUR	tr|A0A8C8SEQ9|A0A8C8SEQ9_9SAUR Cilia- and flagella-associated protein 97 OS=Pelusios castaneus OX=367368 PE=3 SV=1	484	Pelusios castaneus	Cilia- and flagella-associated protein 97
1698					XP_039396133.1	48.8	498	3.66e-98	Nr			XP_039396133.1 cilia- and flagella-associated protein 97 [Mauremys reevesii]	490	Mauremys reevesii	cilia- and flagella-associated protein 97
1699					XP_048703913.1	48.0	502	5.8e-98	Nr			XP_048703913.1 cilia- and flagella-associated protein 97 isoform X2 [Caretta caretta]	494	Caretta caretta	cilia- and flagella-associated protein 97 isoform X2
1700					XP_038256715.1	47.2	500	1.16e-97	Nr			XP_038256715.1 cilia- and flagella-associated protein 97 [Dermochelys coriacea]	494	Dermochelys coriacea	cilia- and flagella-associated protein 97
1701					A0A6P8QLB8	47.3	480	4.8e-97	TrEMBL	CFAP97	A0A6P8QLB8_GEOSA	tr|A0A6P8QLB8|A0A6P8QLB8_GEOSA Cilia- and flagella-associated protein 97 OS=Geotrypetes seraphini OX=260995 GN=CFAP97 PE=3 SV=1	469	Geotrypetes seraphini	Cilia- and flagella-associated protein 97
1702					A0A452HGW3	47.4	500	9.98e-97	TrEMBL		A0A452HGW3_9SAUR	tr|A0A452HGW3|A0A452HGW3_9SAUR Cilia- and flagella-associated protein 97 OS=Gopherus agassizii OX=38772 PE=3 SV=1	494	Gopherus agassizii	Cilia- and flagella-associated protein 97
1703					A0A8C4VP28	47.2	500	5.58e-96	TrEMBL	CFAP97	A0A8C4VP28_9SAUR	tr|A0A8C4VP28|A0A8C4VP28_9SAUR Cilia- and flagella-associated protein 97 OS=Gopherus evgoodei OX=1825980 GN=CFAP97 PE=3 SV=1	494	Gopherus evgoodei	Cilia- and flagella-associated protein 97
1704					A0A1U8D9Y3	47.6	502	7.59e-95	TrEMBL	CFAP97	A0A1U8D9Y3_ALLSI	tr|A0A1U8D9Y3|A0A1U8D9Y3_ALLSI Cilia- and flagella-associated protein 97 OS=Alligator sinensis OX=38654 GN=CFAP97 PE=3 SV=1	489	Alligator sinensis	Cilia- and flagella-associated protein 97
1705					K7GA68	47.2	498	1.13e-94	TrEMBL	CFAP97	K7GA68_PELSI	tr|K7GA68|K7GA68_PELSI Cilia- and flagella-associated protein 97 OS=Pelodiscus sinensis OX=13735 GN=CFAP97 PE=3 SV=1	491	Pelodiscus sinensis	Cilia- and flagella-associated protein 97
1706					A0A7M4DVH1	47.9	509	2.6e-94	TrEMBL	CFAP97	A0A7M4DVH1_CROPO	tr|A0A7M4DVH1|A0A7M4DVH1_CROPO Cilia- and flagella-associated protein 97 OS=Crocodylus porosus OX=8502 GN=CFAP97 PE=3 SV=1	496	Crocodylus porosus	Cilia- and flagella-associated protein 97
1707					A0A8D0HDR6	47.1	505	4.19e-93	TrEMBL	CFAP97	A0A8D0HDR6_SPHPU	tr|A0A8D0HDR6|A0A8D0HDR6_SPHPU Cilia- and flagella-associated protein 97 OS=Sphenodon punctatus OX=8508 GN=CFAP97 PE=3 SV=1	497	Sphenodon punctatus	Cilia- and flagella-associated protein 97
1708					A0A8C4XUA8	47.5	503	1.92e-92	TrEMBL		A0A8C4XUA8_FALTI	tr|A0A8C4XUA8|A0A8C4XUA8_FALTI Cilia- and flagella-associated protein 97 OS=Falco tinnunculus OX=100819 PE=3 SV=1	490	Falco tinnunculus	Cilia- and flagella-associated protein 97
1709					A0A6P7WVZ1	47.2	451	2.78e-90	TrEMBL	CFAP97	A0A6P7WVZ1_9AMPH	tr|A0A6P7WVZ1|A0A6P7WVZ1_9AMPH Cilia- and flagella-associated protein 97 OS=Microcaecilia unicolor OX=1415580 GN=CFAP97 PE=3 SV=1	448	Microcaecilia unicolor	Cilia- and flagella-associated protein 97
1710					A0A2I0MM46	47.1	497	3.1399999999999998e-90	TrEMBL	CFAP97	A0A2I0MM46_COLLI	tr|A0A2I0MM46|A0A2I0MM46_COLLI Cilia- and flagella-associated protein 97 OS=Columba livia OX=8932 GN=CFAP97 PE=3 SV=1	488	Columba livia	Cilia- and flagella-associated protein 97
1711					A0A663M565	48.1	501	3.32e-90	TrEMBL	CFAP97	A0A663M565_ATHCN	tr|A0A663M565|A0A663M565_ATHCN Cilia- and flagella-associated protein 97 OS=Athene cunicularia OX=194338 GN=CFAP97 PE=3 SV=1	490	Athene cunicularia	Cilia- and flagella-associated protein 97
1712					A0A8C3FM19	45.5	527	4.36e-90	TrEMBL	CFAP97	A0A8C3FM19_CHRPI	tr|A0A8C3FM19|A0A8C3FM19_CHRPI Cilia- and flagella-associated protein 97 OS=Chrysemys picta bellii OX=8478 GN=CFAP97 PE=3 SV=1	512	Chrysemys picta bellii	Cilia- and flagella-associated protein 97
1713					A0A8B7IH52	45.3	516	5e-89	TrEMBL	CFAP97	A0A8B7IH52_9AVES	tr|A0A8B7IH52|A0A8B7IH52_9AVES Cilia- and flagella-associated protein 97 OS=Apteryx mantelli mantelli OX=202946 GN=CFAP97 PE=3 SV=1	501	Apteryx mantelli mantelli	Cilia- and flagella-associated protein 97
1714					A0A8C4V8A4	47.2	492	2.6e-88	TrEMBL		A0A8C4V8A4_FALTI	tr|A0A8C4V8A4|A0A8C4V8A4_FALTI Cilia- and flagella-associated protein 97 OS=Falco tinnunculus OX=100819 PE=3 SV=1	511	Falco tinnunculus	Cilia- and flagella-associated protein 97
1715					A0A8C0GJS8	44.2	534	1.58e-87	TrEMBL	CFAP97	A0A8C0GJS8_CHEAB	tr|A0A8C0GJS8|A0A8C0GJS8_CHEAB Cilia- and flagella-associated protein 97 OS=Chelonoidis abingdonii OX=106734 GN=CFAP97 PE=3 SV=1	527	Chelonoidis abingdonii	Cilia- and flagella-associated protein 97
1716					Q9P2B7	40.2	537	6.58e-73	Swiss-Prot	CFAP97	CFA97_HUMAN	sp|Q9P2B7|CFA97_HUMAN Cilia- and flagella-associated protein 97 OS=Homo sapiens OX=9606 GN=CFAP97 PE=1 SV=2	532	Homo sapiens	Cilia- and flagella-associated protein 97
1717					Q5RD75	40.0	537	3.8700000000000005e-70	Swiss-Prot	CFAP97	CFA97_PONAB	sp|Q5RD75|CFA97_PONAB Cilia- and flagella-associated protein 97 OS=Pongo abelii OX=9601 GN=CFAP97 PE=2 SV=1	530	Pongo abelii	Cilia- and flagella-associated protein 97
1718					Q2KJH5	39.8	545	1.4799999999999999e-68	Swiss-Prot	CFAP97	CFA97_BOVIN	sp|Q2KJH5|CFA97_BOVIN Cilia- and flagella-associated protein 97 OS=Bos taurus OX=9913 GN=CFAP97 PE=2 SV=1	527	Bos taurus	Cilia- and flagella-associated protein 97
1719					Q6ZPR1	36.9	550	7.88e-60	Swiss-Prot	Cfap97	CFA97_MOUSE	sp|Q6ZPR1|CFA97_MOUSE Cilia- and flagella-associated protein 97 OS=Mus musculus OX=10090 GN=Cfap97 PE=1 SV=2	541	Mus musculus	Cilia- and flagella-associated protein 97
1720					Q66H34	37.6	490	3.6100000000000003e-57	Swiss-Prot	Cfap97	CFA97_RAT	sp|Q66H34|CFA97_RAT Cilia- and flagella-associated protein 97 OS=Rattus norvegicus OX=10116 GN=Cfap97 PE=1 SV=1	548	Rattus norvegicus	Cilia- and flagella-associated protein 97
1721					A0A6I8SBU0	40.4	114	9.17e-11	TrEMBL		A0A6I8SBU0_XENTR	tr|A0A6I8SBU0|A0A6I8SBU0_XENTR Core-binding (CB) domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=2	674	Xenopus tropicalis	Core-binding (CB) domain-containing protein
1722					KAE8576050.1	40.4	114	2.35e-10	Nr			KAE8576050.1 hypothetical protein XENTR_v10004031 [Xenopus tropicalis]	668	Xenopus tropicalis	hypothetical protein XENTR_v10004031
1723					XP_040297773.1	38.3	120	8.25e-09	Nr			XP_040297773.1 uncharacterized protein LOC121008982 [Bufo bufo]	254	Bufo bufo	uncharacterized protein LOC121008982
1724					A0A8J1LJD0	29.1	206	9.57e-08	TrEMBL	LOC121397238	A0A8J1LJD0_XENLA	tr|A0A8J1LJD0|A0A8J1LJD0_XENLA uncharacterized protein LOC121397238 OS=Xenopus laevis OX=8355 GN=LOC121397238 PE=4 SV=1	642	Xenopus laevis	uncharacterized protein LOC121397238
1725					XP_041429632.1	29.1	206	2.46e-07	Nr			XP_041429632.1 uncharacterized protein LOC121397238 [Xenopus laevis]	642	Xenopus laevis	uncharacterized protein LOC121397238
1726					A0A803J2T6	29.4	204	9.24e-07	TrEMBL		A0A803J2T6_XENTR	tr|A0A803J2T6|A0A803J2T6_XENTR UBA domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	426	Xenopus tropicalis	UBA domain-containing protein
1727					A0A803K8J8	28.2	195	6.59e-06	TrEMBL		A0A803K8J8_XENTR	tr|A0A803K8J8|A0A803K8J8_XENTR Core-binding (CB) domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	691	Xenopus tropicalis	Core-binding (CB) domain-containing protein
1728					A0A8T2JZU9	41.6	77	1.7e-05	TrEMBL	GDO86_003084	A0A8T2JZU9_9PIPI	tr|A0A8T2JZU9|A0A8T2JZU9_9PIPI Nuclear pore complex protein OS=Hymenochirus boettgeri OX=247094 GN=GDO86_003084 PE=4 SV=1	871	Hymenochirus boettgeri	Nuclear pore complex protein
1729					XP_018432223.1	37.2	113	3.61e-05	Nr			XP_018432223.1 PREDICTED: gamma-tubulin complex component 6 [Nanorana parkeri]	2620	Nanorana parkeri	PREDICTED: gamma-tubulin complex component 6
1730					KAG8450669.1	41.6	77	4.36e-05	Nr			KAG8450669.1 hypothetical protein GDO86_003084 [Hymenochirus boettgeri]	871	Hymenochirus boettgeri	hypothetical protein GDO86_003084
1731					A0A803JVJ8	34.6	127	0.000101	TrEMBL		A0A803JVJ8_XENTR	tr|A0A803JVJ8|A0A803JVJ8_XENTR ribonuclease H OS=Xenopus tropicalis OX=8364 PE=3 SV=1	805	Xenopus tropicalis	ribonuclease H
1732					A0A803JL00	26.7	191	0.000174	TrEMBL		A0A803JL00_XENTR	tr|A0A803JL00|A0A803JL00_XENTR Tyr recombinase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	642	Xenopus tropicalis	Tyr recombinase domain-containing protein
1733					KAE8585826.1	34.6	127	0.000254	Nr			KAE8585826.1 hypothetical protein XENTR_v10021466 [Xenopus tropicalis]	731	Xenopus tropicalis	hypothetical protein XENTR_v10021466
1734					A0A803JUY8	25.9	201	0.000302	TrEMBL		A0A803JUY8_XENTR	tr|A0A803JUY8|A0A803JUY8_XENTR Tyr recombinase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	540	Xenopus tropicalis	Tyr recombinase domain-containing protein
1735					A0A803KB74	37.5	80	0.000387	TrEMBL		A0A803KB74_XENTR	tr|A0A803KB74|A0A803KB74_XENTR Tyr recombinase domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	465	Xenopus tropicalis	Tyr recombinase domain-containing protein
1736					A0A803J9S3	34.0	150	0.000462	TrEMBL		A0A803J9S3_XENTR	tr|A0A803J9S3|A0A803J9S3_XENTR Integrase catalytic domain-containing protein OS=Xenopus tropicalis OX=8364 PE=4 SV=1	358	Xenopus tropicalis	Integrase catalytic domain-containing protein
1737					A0A8J1LVD3	50.9	55	0.000529	TrEMBL	LOC121398305	A0A8J1LVD3_XENLA	tr|A0A8J1LVD3|A0A8J1LVD3_XENLA uncharacterized protein LOC121398305 OS=Xenopus laevis OX=8355 GN=LOC121398305 PE=4 SV=1	485	Xenopus laevis	uncharacterized protein LOC121398305
1738					A0A8J1MF16	29.5	200	0.000593	TrEMBL	LOC121400624	A0A8J1MF16_XENLA	tr|A0A8J1MF16|A0A8J1MF16_XENLA uncharacterized protein LOC121400624 OS=Xenopus laevis OX=8355 GN=LOC121400624 PE=4 SV=1	739	Xenopus laevis	uncharacterized protein LOC121400624
1739	Cluster-75151.137956_NODE_156995_length_1028_cov_22.144641_g41720_i1	bombina_pachypus_corset_DEGS_blastp	6.73486371736126	0.0325442786207756	Q6PGS4	80.3	259	7.1e-155	TrEMBL	ctrb1.L	Q6PGS4_XENLA	tr|Q6PGS4|Q6PGS4_XENLA MGC64417 protein OS=Xenopus laevis OX=8355 GN=ctrb1.L PE=2 SV=1	263	Xenopus laevis	MGC64417 protein
1740					Q6P2V9	81.1	259	1.29e-154	TrEMBL	ctrb2-prov	Q6P2V9_XENTR	tr|Q6P2V9|Q6P2V9_XENTR Ctrb2-prov protein (Fragment) OS=Xenopus tropicalis OX=8364 GN=ctrb2-prov PE=2 SV=1	260	Xenopus tropicalis	Ctrb2-prov protein (Fragment)
1741					A0A8J0QZ95	81.1	259	1.43e-154	TrEMBL	ctrb1	A0A8J0QZ95_XENTR	tr|A0A8J0QZ95|A0A8J0QZ95_XENTR chymotrypsin B OS=Xenopus tropicalis OX=8364 GN=ctrb1 PE=4 SV=1	263	Xenopus tropicalis	chymotrypsin B
1742					NP_001079917.1	80.3	259	1.82e-154	Nr			NP_001079917.1 chymotrypsinogen B1 L homeolog precursor [Xenopus laevis]	263	Xenopus laevis	chymotrypsinogen B1 L homeolog precursor
1743					A0A1L8GEJ6	80.3	259	2.03e-154	TrEMBL	LOC108715072	A0A1L8GEJ6_XENLA	tr|A0A1L8GEJ6|A0A1L8GEJ6_XENLA chymotrypsin B OS=Xenopus laevis OX=8355 GN=LOC108715072 PE=4 SV=1	263	Xenopus laevis	chymotrypsin B
1744					AAH64277.1	81.1	259	3.3e-154	Nr			AAH64277.1 ctrb2-prov protein, partial [Xenopus tropicalis]	260	Xenopus tropicalis	ctrb2-prov protein, partial
1745					XP_002944677.2	81.1	259	3.68e-154	Nr			XP_002944677.2 chymotrypsin B [Xenopus tropicalis]	263	Xenopus tropicalis	chymotrypsin B
1746					XP_018115407.1	80.3	259	5.22e-154	Nr			XP_018115407.1 chymotrypsin B [Xenopus laevis]	263	Xenopus laevis	chymotrypsin B
1747					A0A8J1MX14	80.3	259	5.82e-154	TrEMBL	LOC108713635	A0A8J1MX14_XENLA	tr|A0A8J1MX14|A0A8J1MX14_XENLA chymotrypsinogen A-like OS=Xenopus laevis OX=8355 GN=LOC108713635 PE=4 SV=1	263	Xenopus laevis	chymotrypsinogen A-like
1748					XP_041446005.1	80.3	259	1.5e-153	Nr			XP_041446005.1 chymotrypsinogen A-like [Xenopus laevis]	263	Xenopus laevis	chymotrypsinogen A-like
1749					A0A5G3KC04	80.3	259	2.37e-153	TrEMBL	ctrb1	A0A5G3KC04_XENTR	tr|A0A5G3KC04|A0A5G3KC04_XENTR Chymotrypsinogen B1 OS=Xenopus tropicalis OX=8364 GN=ctrb1 PE=4 SV=2	263	Xenopus tropicalis	Chymotrypsinogen B1
1750					A0A803JTN7	79.9	259	3.36e-153	TrEMBL	ctrb1	A0A803JTN7_XENTR	tr|A0A803JTN7|A0A803JTN7_XENTR Chymotrypsinogen B1 OS=Xenopus tropicalis OX=8364 GN=ctrb1 PE=4 SV=1	263	Xenopus tropicalis	Chymotrypsinogen B1
1751					A0A8J0QQX2	79.5	259	4.77e-153	TrEMBL	LOC100489516	A0A8J0QQX2_XENTR	tr|A0A8J0QQX2|A0A8J0QQX2_XENTR chymotrypsin B OS=Xenopus tropicalis OX=8364 GN=LOC100489516 PE=4 SV=1	263	Xenopus tropicalis	chymotrypsin B
1752					XP_004913565.1	80.3	259	6.08e-153	Nr			XP_004913565.1 chymotrypsin B [Xenopus tropicalis]	263	Xenopus tropicalis	chymotrypsin B
1753					XP_002935402.2	79.5	259	1.23e-152	Nr			XP_002935402.2 chymotrypsin B [Xenopus tropicalis]	263	Xenopus tropicalis	chymotrypsin B
1754					A0A821ZWH5	80.9	246	1.6000000000000001e-144	TrEMBL	RIMITATOR_LOCUS6537767	A0A821ZWH5_9NEOB	tr|A0A821ZWH5|A0A821ZWH5_9NEOB (mimic poison frog) hypothetical protein OS=Ranitomeya imitator OX=111125 GN=RIMITATOR_LOCUS6537767 PE=4 SV=1	263	Ranitomeya imitator	(mimic poison frog) hypothetical protein
1755					XP_044126706.1	78.6	252	2.9e-144	Nr			XP_044126706.1 chymotrypsin B-like [Bufo gargarizans]	263	Bufo gargarizans	chymotrypsin B-like
1756					A0A8T2J0M0	79.6	245	4.5800000000000004e-144	TrEMBL	GDO86_008492	A0A8T2J0M0_9PIPI	tr|A0A8T2J0M0|A0A8T2J0M0_9PIPI Peptidase S1 domain-containing protein OS=Hymenochirus boettgeri OX=247094 GN=GDO86_008492 PE=4 SV=1	263	Hymenochirus boettgeri	Peptidase S1 domain-containing protein
1757					KAG8548833.1	78.9	246	1.1800000000000001e-143	Nr			KAG8548833.1 hypothetical protein GDO81_023860 [Engystomops pustulosus]	263	Engystomops pustulosus	hypothetical protein GDO81_023860
1758					KAG8437802.1	79.6	245	1.1800000000000001e-143	Nr			KAG8437802.1 hypothetical protein GDO86_008492 [Hymenochirus boettgeri]	263	Hymenochirus boettgeri	hypothetical protein GDO86_008492
1759					XP_040264861.1	77.4	257	2.27e-143	Nr			XP_040264861.1 chymotrypsin B-like [Bufo bufo]	252	Bufo bufo	chymotrypsin B-like
1760					A0A8C5PKX7	74.6	260	1.47e-142	TrEMBL		A0A8C5PKX7_9ANUR	tr|A0A8C5PKX7|A0A8C5PKX7_9ANUR Peptidase S1 domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	262	Leptobrachium leishanense	Peptidase S1 domain-containing protein
1761					A0A8C5W8P1	77.7	247	5.15e-142	TrEMBL		A0A8C5W8P1_9ANUR	tr|A0A8C5W8P1|A0A8C5W8P1_9ANUR Peptidase S1 domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	248	Leptobrachium leishanense	Peptidase S1 domain-containing protein
1762					A0A8C5PK84	77.7	247	5.94e-142	TrEMBL		A0A8C5PK84_9ANUR	tr|A0A8C5PK84|A0A8C5PK84_9ANUR Peptidase S1 domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	252	Leptobrachium leishanense	Peptidase S1 domain-containing protein
1763					A0A8C5W915	77.7	247	6.61e-142	TrEMBL		A0A8C5W915_9ANUR	tr|A0A8C5W915|A0A8C5W915_9ANUR Peptidase S1 domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	255	Leptobrachium leishanense	Peptidase S1 domain-containing protein
1764					A0A8C5PJY6	77.7	247	3.91e-141	TrEMBL		A0A8C5PJY6_9ANUR	tr|A0A8C5PJY6|A0A8C5PJY6_9ANUR Peptidase S1 domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	305	Leptobrachium leishanense	Peptidase S1 domain-containing protein
1765					A0A8C5PKG5	77.6	246	8.92e-141	TrEMBL		A0A8C5PKG5_9ANUR	tr|A0A8C5PKG5|A0A8C5PKG5_9ANUR Peptidase S1 domain-containing protein OS=Leptobrachium leishanense OX=445787 PE=4 SV=1	269	Leptobrachium leishanense	Peptidase S1 domain-containing protein
1766					XP_043935470.1	75.9	245	1.3599999999999999e-136	Nr			XP_043935470.1 chymotrypsinogen A-like [Protopterus annectens]	267	Protopterus annectens	chymotrypsinogen A-like
1767					KAJ1084163.1	71.4	259	1.9499999999999998e-135	Nr			KAJ1084163.1 hypothetical protein NDU88_004316 [Pleurodeles waltl]	263	Pleurodeles waltl	hypothetical protein NDU88_004316
1768					KAJ1084164.1	71.4	259	7.9e-135	Nr			KAJ1084164.1 hypothetical protein NDU88_004316 [Pleurodeles waltl]	263	Pleurodeles waltl	hypothetical protein NDU88_004316
1769					A0A059TWS1	72.2	259	8.8e-135	TrEMBL		A0A059TWS1_CHELB	tr|A0A059TWS1|A0A059TWS1_CHELB Chymotrypsin OS=Chelon labrosus OX=48171 PE=2 SV=1	263	Chelon labrosus	Chymotrypsin
1770					A0A3N0Z2G9	71.8	259	1.7699999999999998e-134	TrEMBL	DPX16_21151	A0A3N0Z2G9_ANAGA	tr|A0A3N0Z2G9|A0A3N0Z2G9_ANAGA Chymotrypsin A OS=Anabarilius grahami OX=495550 GN=DPX16_21151 PE=4 SV=1	263	Anabarilius grahami	Chymotrypsin A
1771					AHZ33699.1	72.2	259	2.26e-134	Nr			AHZ33699.1 chymotrypsin [Chelon labrosus]	263	Chelon labrosus	chymotrypsin
1772					XP_048040561.1	71.8	259	2.26e-134	Nr			XP_048040561.1 chymotrypsin A-like [Megalobrama amblycephala]	263	Megalobrama amblycephala	chymotrypsin A-like
1773					ROL52725.1	71.8	259	4.56e-134	Nr			ROL52725.1 Chymotrypsin A [Anabarilius grahami]	263	Anabarilius grahami	Chymotrypsin A
1774					KAI4905627.1	71.0	259	4.56e-134	Nr			KAI4905627.1 hypothetical protein NFI96_000316 [Prochilodus magdalenae]	263	Prochilodus magdalenae	hypothetical protein NFI96_000316
1775					KAI4905631.1	71.0	259	4.56e-134	Nr			KAI4905631.1 hypothetical protein NFI96_000315 [Prochilodus magdalenae]	263	Prochilodus magdalenae	hypothetical protein NFI96_000315
1776					WP_147011690.1	71.4	259	9.18e-134	Nr			WP_147011690.1 serine protease [Klebsiella pneumoniae]	263	Klebsiella pneumoniae	serine protease
1777					XP_029466499.1	71.0	259	3.7300000000000004e-133	Nr			XP_029466499.1 chymotrypsin B-like [Rhinatrema bivittatum]	263	Rhinatrema bivittatum	chymotrypsin B-like
1778					XP_048040560.1	71.0	259	3.7300000000000004e-133	Nr			XP_048040560.1 chymotrypsin A-like [Megalobrama amblycephala]	263	Megalobrama amblycephala	chymotrypsin A-like
1779					I3J5D4	69.9	259	8.36e-133	TrEMBL	LOC100691584	I3J5D4_ORENI	tr|I3J5D4|I3J5D4_ORENI Chymotrypsinogen A OS=Oreochromis niloticus OX=8128 GN=LOC100691584 PE=4 SV=2	263	Oreochromis niloticus	Chymotrypsinogen A
1780					A0A8C4CF90	69.9	259	8.36e-133	TrEMBL	LOC114766649	A0A8C4CF90_9TELE	tr|A0A8C4CF90|A0A8C4CF90_9TELE Chymotrypsin A-like OS=Denticeps clupeoides OX=299321 GN=LOC114766649 PE=4 SV=1	263	Denticeps clupeoides	Chymotrypsin A-like
1781					XP_051756322.1	71.4	259	1.07e-132	Nr			XP_051756322.1 chymotrypsin A-like [Ctenopharyngodon idella]	263	Ctenopharyngodon idella	chymotrypsin A-like
1782					A0A3P8R1G7	70.3	259	1.1900000000000002e-132	TrEMBL		A0A3P8R1G7_ASTCA	tr|A0A3P8R1G7|A0A3P8R1G7_ASTCA Peptidase S1 domain-containing protein OS=Astatotilapia calliptera OX=8154 PE=4 SV=1	263	Astatotilapia calliptera	Peptidase S1 domain-containing protein
1783					XP_047436748.1	71.8	259	1.51e-132	Nr			XP_047436748.1 chymotrypsin A-like [Mugil cephalus]	263	Mugil cephalus	chymotrypsin A-like
1784					XP_003437636.2	69.9	259	2.1500000000000002e-132	Nr			XP_003437636.2 chymotrypsinogen A [Oreochromis niloticus]	263	Oreochromis niloticus	chymotrypsinogen A
1785					A0A8C4G8R2	69.5	259	2.39e-132	TrEMBL	LOC114766648	A0A8C4G8R2_9TELE	tr|A0A8C4G8R2|A0A8C4G8R2_9TELE Chymotrypsin A-like OS=Denticeps clupeoides OX=299321 GN=LOC114766648 PE=4 SV=1	263	Denticeps clupeoides	Chymotrypsin A-like
1786					A0A3P9AQY0	70.3	259	2.39e-132	TrEMBL		A0A3P9AQY0_9CICH	tr|A0A3P9AQY0|A0A3P9AQY0_9CICH Chymotrypsin A OS=Maylandia zebra OX=106582 PE=4 SV=1	263	Maylandia zebra	Chymotrypsin A
1787					A0A670JZ96	71.1	249	3.0500000000000003e-132	TrEMBL		A0A670JZ96_PODMU	tr|A0A670JZ96|A0A670JZ96_PODMU Peptidase S1 domain-containing protein OS=Podarcis muralis OX=64176 PE=3 SV=1	260	Podarcis muralis	Peptidase S1 domain-containing protein
1788					A0A3B3VWN6	70.7	259	3.4000000000000005e-132	TrEMBL		A0A3B3VWN6_9TELE	tr|A0A3B3VWN6|A0A3B3VWN6_9TELE Chymotrypsin A-like OS=Poecilia latipinna OX=48699 PE=4 SV=1	263	Poecilia latipinna	Chymotrypsin A-like
1789					P47796	69.5	246	4.6800000000000003e-125	Swiss-Prot		CTRA_GADMO	sp|P47796|CTRA_GADMO Chymotrypsin A OS=Gadus morhua OX=8049 PE=1 SV=1	263	Gadus morhua	Chymotrypsin A
1790					P00766	69.8	245	2.8900000000000004e-124	Swiss-Prot		CTRA_BOVIN	sp|P00766|CTRA_BOVIN Chymotrypsinogen A OS=Bos taurus OX=9913 PE=1 SV=1	245	Bos taurus	Chymotrypsinogen A
